Date,Symbol,Ltp,Vwap
2026-09-08 15:29,LMW,18603,18571.57
2026-09-08 15:29,ELANTAS,13891,13578.47
2026-09-08 15:29,DYNAMATECH,11584,11555.82
2026-09-08 15:29,VOLTAMP,11365,11274.76
2026-09-08 15:29,MTARTECH,7799.5,7728.81
2026-09-08 15:29,VADILALIND,7534.5,7490
2026-09-08 15:29,GRWRHITECH,6975.5,6963.24
2026-09-08 15:29,KOVAI,6107,6051.04
2026-09-08 15:29,ESABINDIA,6067,6052.81
2026-09-08 15:29,FINEORG,5196,5145.62
2026-09-08 15:29,INGERRAND,4741.7002,4722.04
2026-09-08 15:29,SANSERA,4033.6001,4028.73
2026-09-08 15:29,SHAILY,3407.8,3372.46
2026-09-08 15:29,CARTRADE,3176.7,3171.26
2026-09-08 15:29,RATNAMANI,2803.8,2771.21
2026-09-08 15:29,PGIL,2366.8,2347.21
2026-09-08 15:29,GALAXYSURF,2251.8999,2233.91
2026-09-08 15:29,HAPPYFORGE,2230.3,2218.98
2026-09-08 15:29,INOXINDIA,2215.8999,2191.61
2026-09-08 15:29,NEOGEN,2213,2206.74
2026-09-08 15:29,MANORAMA,2132.8999,2100.21
2026-09-08 15:29,CORONA,2093.2,2082.24
2026-09-08 15:29,WABAG,2008.4,2007.56
2026-09-08 15:29,LUMAXTECH,1955.9,1940.47
2026-09-08 15:29,ECLERX,1945.1,1931.57
2026-09-08 15:29,ATLANTAELE,1922.3,1909.23
2026-09-08 15:29,AXISCADES,1848.6,1830.74
2026-09-08 15:29,ASTRAMICRO,1757.3,1745.25
2026-09-08 15:29,LGBBROSLTD,1736.7,1723.29
2026-09-08 15:29,POLYMED,1730.1,1728.34
2026-09-08 15:29,TBOTEK,1694.5,1683.92
2026-09-08 15:29,KRN,1660.2,1633.63
2026-09-08 15:29,AETHER,1642.9,1621.72
2026-09-08 15:29,UNIMECH,1629.6,1583.42
2026-09-08 15:29,QPOWER,1519.7,1489.63
2026-09-08 15:29,SENORES,1509.8,1506.58
2026-09-08 15:29,CONCORDBIO,1470.5,1464.28
2026-09-08 15:29,CHENNPETRO,1457.8,1456.87
2026-09-08 15:29,CLEANMAX,1399.2,1379.56
2026-09-08 15:29,GABRIEL,1389.6,1377.05
2026-09-08 15:29,GESHIP,1383.8,1383.39
2026-09-08 15:29,SUDEEPPHRM,1344.2,1338.82
2026-09-08 15:29,FINCABLES,1302.3,1288.91
2026-09-08 15:29,GMMPFAUDLR,1285.2,1283.24
2026-09-08 15:29,KAJARIACER,1250.2,1243.13
