Date,Sector,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-08 15:29,aerospace & defence,70.5882,64.7059,70.5882,70.5882,70.5882
2026-09-08 15:29,plastic products,64.5161,45.1613,35.4839,35.4839,35.4839
2026-09-08 15:29,energy,61.5385,64.1026,61.5385,58.9744,58.9744
2026-09-08 15:29,healthcare,57.4074,72.8395,72.2222,72.2222,71.6049
2026-09-08 15:29,chemicals,53.4591,60.3774,58.4906,55.3459,52.8302
2026-09-08 15:29,metals & mining,48.062,55.0388,56.5891,57.3643,55.814
2026-09-08 15:29,industrials,47.3913,57.8261,60.8696,60,60.4348
2026-09-08 15:29,telecom-service,45.4545,27.2727,27.2727,27.2727,27.2727
2026-09-08 15:29,textiles,44.9612,44.186,43.4109,43.4109,40.3101
2026-09-08 15:29,building materials,43.75,40.625,38.5417,35.4167,32.2917
2026-09-08 15:29,telecom,40,50,50,50,50
2026-09-08 15:29,co-working,40,60,60,60,60
2026-09-08 15:29,consumer discretionary,39.6104,49.3506,50.6494,50,50
2026-09-08 15:29,fmcg,39.6104,50,51.2987,50,49.3506
2026-09-08 15:29,auto,38.835,53.3981,56.3107,57.2816,59.2233
2026-09-08 15:29,transportation,38.4615,51.9231,53.8462,53.8462,51.9231
2026-09-08 15:29,financials,38.0734,47.7064,49.0826,47.7064,46.3303
2026-09-08 15:29,services,34.188,36.7521,37.6068,35.0427,36.7521
2026-09-08 15:29,miscellaneous,32.1429,39.2857,41.6667,39.2857,40.4762
2026-09-08 15:29,n/a,32.0755,34.9057,37.2642,37.2642,37.7358
2026-09-08 15:29,bank,31.7073,48.7805,60.9756,60.9756,65.8537
2026-09-08 15:29,realty,30.4813,32.6203,29.9465,30.4813,29.9465
2026-09-08 15:29,i.t,29.7753,41.573,38.2022,36.5169,35.3933
2026-09-08 15:29,media,20.8333,29.1667,31.25,27.0833,25
2026-09-08 15:29,indices,20.7547,53.066,61.3208,66.5094,69.1038
2026-09-08 15:29,power & utilities,15.625,15.625,21.875,21.875,25
