Date,Symbol,% change,Ltp
2026-09-08 15:29,NIFTYINDDEFENCE,2.5029,9998.7002
2026-09-08 15:29,NIFTYMEDIA,1.3119,1540.6
2026-09-08 15:29,CNXPHARMA,0.7696,26880.8008
2026-09-08 15:29,NIFTYCHEMICALS,0.6849,30167.0996
2026-09-08 15:29,NIFTYHEALTHCARE,0.6313,16624.5996
2026-09-08 15:29,INDIAVIX,0.6272,11.23
2026-09-08 15:29,NIFTYMICROCAP250,0.5223,26715.4004
2026-09-08 15:29,NIFTYFMCG,0.3459,45749.8516
2026-09-08 15:29,CNXENERGY,0.3164,38093.5
2026-09-08 15:29,NIFTYSMALLCAP50,0.3137,10058.0996
2026-09-08 15:29,NIFTYAUTO,0.2765,27775.3496
2026-09-08 15:29,NIFTYSMALLCAP250,0.2329,18527.1992
2026-09-08 15:29,NIFTYMIDCAP50,0.2293,18093
2026-09-08 15:29,CNXSMALLCAP,0.1669,20133.75
2026-09-08 15:29,NIFTYMIDSMALLCAP400,0.1592,21449.0508
2026-09-08 15:29,NIFTYMIDSELECT,0.1491,14672.5498
2026-09-08 15:29,NIFTYMIDCAP150,0.1201,23089.9492
2026-09-08 15:29,NIFTYCONSUMPTION,0.0744,11569.3496
2026-09-08 15:29,NIFTYMETAL,0.0232,13155.9502
2026-09-08 15:29,CNXREALTY,-0.0504,892.05
2026-09-08 15:29,NIFTYLARGEMID250,-0.1345,16554.3496
2026-09-08 15:29,NIFTYPSUBANK,-0.146,8412.3496
2026-09-08 15:29,NIFTYTOTALMKT,-0.1825,13073.9004
2026-09-08 15:29,NIFTY500,-0.2164,23106.0996
2026-09-08 15:29,NIFTYCOMMODITIES,-0.2669,9676.2002
2026-09-08 15:29,NIFTY200,-0.2738,13804.0996
2026-09-08 15:29,CNXIT,-0.3724,29883.5
2026-09-08 15:29,NIFTY100,-0.3963,24803.9004
2026-09-08 15:29,CNXINFRA,-0.4859,9144.0498
2026-09-08 15:29,BANKNIFTY,-0.5443,56777.5508
2026-09-08 15:29,NIFTY,-0.6058,23635.0996
2026-09-08 15:29,NIFTYOILANDGAS,-0.6664,11044.75
2026-09-08 15:29,NIFTYFINSERVICE,-0.9256,25695.5508
2026-09-08 15:29,NIFTYPVTBANK,-0.9769,27474.6992
2026-09-08 15:29,NIFTYHOUSING,1.7e+308,11061.2002
