,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10,14,22,49,68,236,409,-170,-310,6,-182
Cash from Investing Activity,-2,-20,-43,-79,-68,-146,-74,-15,-49,-192,106
Cash from Financing Activity,3,7,20,56,18,-33,13,174,376,274,54
Net Cash Flow,11,2,0,26,18,56,347,-10,16,88,-22
Free Cash Flow,8,12,22,47,65,227,391,-181,-328,4,-186
CFO/OP,94%,109%,108%,112%,106%,188%,155%,-11%,-26%,22%,-11%
