,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,38.26%,38.23%,38.21%,35.63%,35.61%,35.57%,35.55%,28.97%,28.92%,28.87%,28.80%,28.59%
FIIs,16.82%,19.11%,17.27%,15.36%,12.27%,13.81%,13.05%,14.66%,13.11%,12.45%,12.81%,13.76%
DIIs,10.41%,9.32%,9.49%,14.03%,12.73%,14.32%,14.27%,16.43%,14.87%,18.11%,18.88%,20.34%
Government,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public,34.52%,33.33%,35.02%,34.99%,39.39%,36.28%,37.12%,39.93%,43.11%,40.57%,39.52%,37.30%
No. of Shareholders,"1,31,876","1,55,194","2,00,355","2,70,528","3,81,346","3,55,598","4,02,193","3,25,965","3,83,581","3,27,994","3,59,235","3,56,468"
