,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,5,5,24,24,32,32,32,33,38,44,44
Reserves,13,20,29,49,130,152,226,346,805,"1,417","1,917","2,190"
Borrowings,19,21,31,32,65,85,89,54,144,254,372,478
Other Liabilities,22,36,40,54,76,126,422,781,550,674,892,"1,319"
Total Liabilities,58,82,104,159,296,396,770,"1,213","1,531","2,383","3,225","4,031"
Fixed Assets,7,8,8,8,35,33,38,51,60,66,63,57
CWIP,0,0,0,0,0,0,0,10,0,0,3,0
Investments,4,1,25,40,34,55,84,54,53,167,290,307
Other Assets,47,73,70,111,227,308,648,"1,098","1,419","2,150","2,870","3,666"
Total Assets,58,82,104,159,296,396,770,"1,213","1,531","2,383","3,225","4,031"
