,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,218,361,712,75,101,19,64,90,45,42,21,31
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,218,361,712,75,101,19,64,90,45,42,21,31
Working Capital Days,122,119,-343,-284,127,-380,-235,-569,-474,-525,-497,-592
ROCE %,,12%,11%,18%,13%,14%,27%,35%,44%,39%,26%,15%
