,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,24,24,32,32,32,33,38,44,44
Reserves,21,29,49,134,161,248,415,973,"1,708","2,290","2,591"
Borrowings,21,31,32,106,126,119,199,202,403,513,695
Other Liabilities,36,40,55,78,141,462,784,632,719,933,"1,260"
Total Liabilities,82,104,160,343,460,861,"1,429","1,839","2,868","3,780","4,590"
Fixed Assets,8,8,8,35,33,38,53,63,76,74,65
CWIP,0,0,0,0,0,0,10,1,1,3,0
Investments,2,25,39,42,36,67,8,6,149,355,228
Other Assets,73,71,112,265,391,756,"1,358","1,769","2,643","3,350","4,296"
Total Assets,82,104,160,343,460,861,"1,429","1,839","2,868","3,780","4,590"
