,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,7,10,15,22,45,60,203,396,-351,-220,-16,-164
Cash from Investing Activity,-2,-2,-21,-44,-38,-58,-134,24,-6,-45,-173,18
Cash from Financing Activity,8,3,7,20,20,10,-12,-78,284,306,305,108
Net Cash Flow,13,11,1,-2,26,12,57,342,-72,41,117,-38
Free Cash Flow,5,8,13,21,43,56,193,384,-360,-234,-14,-167
CFO/OP,104%,94%,112%,105%,120%,119%,205%,194%,-83%,-26%,16%,-13%
