,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,277,366,374,465,414,453,342,239,341,341,372,416,448
Expenses,153,190,191,292,267,266,211,187,203,182,216,299,248
Operating Profit,125,176,183,174,147,186,131,52,138,159,156,117,201
OPM %,45%,48%,49%,37%,35%,41%,38%,22%,40%,47%,42%,28%,45%
Other Income,1,2,1,1,7,4,7,3,3,5,5,5,3
Interest,15,17,28,30,19,22,22,27,27,34,34,36,37
Depreciation,3,3,4,4,4,4,4,6,4,4,4,4,4
Profit before tax,108,157,151,141,131,164,112,23,111,126,122,81,164
Tax %,24%,28%,24%,18%,22%,24%,27%,19%,24%,26%,27%,28%,24%
Net Profit,82,113,115,116,103,124,82,19,84,93,89,58,124
EPS in Rs,5.03,6.90,7.01,6.04,5.08,5.69,3.76,0.86,3.85,4.25,4.05,2.64,5.67
Raw PDF,,,,,,,,,,,,,
