,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,572,169,313,281,201,251,158,104,107,91,109,142
Inventory Days,584,32,206,284,,,,,,,,
Days Payable,"1,984",164,136,160,,,,,,,,
Cash Conversion Cycle,-828,38,383,405,201,251,158,104,107,91,109,142
Working Capital Days,-125,-50,-52,-56,100,170,570,484,209,169,220,277
ROCE %,14%,14%,14%,13%,10%,10%,10%,17%,16%,25%,20%,18%
