,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,67.37%,67.39%,67.27%,67.27%,67.28%,67.29%,67.30%,67.30%,67.51%,66.77%,66.72%,66.71%
FIIs,1.07%,0.92%,0.96%,1.51%,2.42%,2.75%,2.65%,2.55%,2.41%,2.94%,2.40%,2.14%
DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.03%,0.05%,0.04%,0.01%,0.00%
Public,31.56%,31.70%,31.76%,31.22%,30.28%,29.95%,30.02%,30.11%,30.03%,30.25%,30.88%,31.14%
No. of Shareholders,"16,026","20,441","24,361","26,199","28,116","29,343","29,146","27,562","26,630","26,031","25,250","25,147"
