,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,173,91,50,52,21,10,2,2,13,3,7,9
Inventory Days,,,,,,,,,,,616,0
Days Payable,,,,,,,,,,,0,
Cash Conversion Cycle,173,91,50,52,21,10,2,2,13,3,623,9
Working Capital Days,77,29,-116,-82,-152,-85,-197,-252,-180,-159,-186,-279
ROCE %,23%,31%,28%,32%,25%,22%,33%,57%,47%,35%,19%,20%
