,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,235,278,296,232,379,127,133,139,113,116,136,161
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,235,278,296,232,379,127,133,139,113,116,136,161
Working Capital Days,143,54,-102,-302,-306,-279,-250,-280,-270,-318,-173,-232
ROCE %,13%,10%,12%,13%,12%,9%,17%,21%,15%,18%,15%,11%
