,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-22,28,-20,4,-36,26,-45,-52,138,-153,-294,-267
Cash from Investing Activity,13,5,-11,-22,54,13,15,-99,-48,-13,-161,-277
Cash from Financing Activity,6,-22,21,39,-28,-15,23,146,-29,224,449,600
Net Cash Flow,-3,11,-9,21,-11,24,-7,-5,62,58,-6,56
Free Cash Flow,-23,23,-25,-1,-69,34,-46,-57,91,-186,-451,-343
CFO/OP,-77%,108%,-55%,21%,-93%,78%,-98%,-31%,153%,-46%,-80%,-46%
