,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,52.81%,49.89%,53.19%,51.32%,50.44%,48.45%,48.67%,48.75%,48.61%,48.62%,48.62%,48.62%
FIIs,0.97%,1.66%,2.68%,2.11%,1.91%,1.70%,1.88%,0.98%,0.72%,1.44%,1.54%,1.87%
DIIs,0.02%,0.54%,0.58%,0.07%,0.12%,0.48%,1.05%,0.39%,0.40%,0.42%,0.47%,0.48%
Public,46.20%,47.90%,43.56%,46.50%,47.53%,49.39%,48.39%,49.89%,50.26%,49.53%,49.38%,49.03%
No. of Shareholders,"20,747","34,507","48,295","64,867","63,455","70,581","69,838","72,772","72,274","69,152","67,413","66,409"
