QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,0,0.02,0.26,4.18,1.88,-1.72,-7.54,1.36,26.09,18.77
Cash from Investing Activity,0,0,-0.15,-3.66,-7.84,2.37,-25.1,-1.78,-48.9,-18.27
Cash from Financing Activity,0,0.01,0,0,6.69,0.13,31.74,-1.07,22.88,-0.78
Net Cash Flow,0,0.03,0.11,0.52,0.73,0.78,-0.9,-1.48,0.07,-0.28
