ENTERO HEALTHCARE SOLUTIONS LTD,,,,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,0,0,0,1349.62,1773.1,2522.07,3300.21,3922.31,5095.78,6591.21,7127.900000000001,8525.495461754628,8439.722237377366
Expenses,0,0,0,1326.14,1758.18,2497.6299999999997,3236.2,3810.47,4924.089999999999,6324.96,6815.02,8151.267846317573,8207.153226756958
Operating Profit,0,0,0,23.47999999999979,14.919999999999845,24.44000000000051,64.01000000000022,111.84000000000015,171.6900000000005,266.25,312.88,374.2276154370555,232.56901062040686
Other Income,0,0,0,4.66,10.56,4.48,5.51,14.41,39.36,10.77,8.24,0,0
Depreciation,0,0,0,11.5,16.28,19.75,24.24,25.02,30.69,43.29,46.730000000000004,46.730000000000004,46.730000000000004
Interest,0,0,0,12.77,20.04,28.98,48.97,65.68,41.62,54.39,64.28999999999999,64.28999999999999,64.28999999999999
Profit before tax,0,0,0,3.87,-10.84,-19.81,-3.69,35.55,138.74,179.34,210.10000000000002,263.2076154370555,121.54901062040686
Tax,0,0,0,2.58,4.51,9.62,7.42,-4.24,31.31,33.5,42.42,0.20190385530699664,0.20190385530699664
Net profit,0,0,0,0.94,-15.54,-29.92,-11.56,39.11,94.82,115.04,125.4,210.0649831341526,97.00779676739563
EPS,0,0,0,93.99999999999999,-1553.9999999999998,-76.71794871794872,-28.195121951219516,8.99080459770115,21.797701149425286,26.445977011494257,28.81231626062709,48.265221127149125,22.2888303046957
Price to earning,,,,,,,,109.82888008182051,52.16146382619701,47.18297983310152,63.22990430622009,68.10080701183477,63.22990430622009
Price,0,0,0,0,0,0,0,987.45,1137,1247.8,1821.8,3286.9005093635133,1409.3206072634875
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0,0,0,0,0,0,0,,,
OPM,0,0,0,0.01739748966375705,0.008414641024194825,0.009690452683708425,0.0193957354228974,0.02851380946432081,0.03369258484471475,0.04039470749680256,0.043895116373686496,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,0.30030844696764447,0.25933476022073343,0.29346439602965596,0.29346439602965596,0.25933476022073343
,,,,,,OPM,0.02755647686963184,0.02755647686963184,0.029779885570732603,0.0352213103726625,0.043895116373686496,0.043895116373686496,0.02755647686963184
,,,,,,Price to Earning,68.10080701183477,68.10080701183477,68.10080701183477,68.10080701183477,63.22990430622009,68.10080701183477,63.22990430622009
