QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,0,0,0,0,0,0,0,1.36,19.17,19.44
Cash from Investing Activity,0,0,0,0,0,0,0,-2.73,-45.49,-20.42
Cash from Financing Activity,0,0,0,0,0,0,0,0.41,26.84,1.11
Net Cash Flow,0,0,0,0,0,0,0,-0.96,0.52,0.13
