QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,SCREENER.IN,
Narration,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,35.24,32.29,37.2,43.87,44.58,46.5,44.7,37.26,44.42,56.87
Expenses,30.4,28.34,29.96,36.93,38.21,39.96,37.78,30.51,38.5,48.56
Operating Profit,4.84,3.95,7.24,6.94,6.37,6.54,6.92,6.75,5.92,8.31
Other Income,0.15,0.11,0.33,0.19,1.09,0.32,0.22,0.3,0.22,0.42
Depreciation,0.88,0.88,0.84,0.86,1.36,0.93,0.94,1.02,1.39,1.47
Interest,0.81,0.99,1.07,1.31,1.41,1.44,1.36,1.75,2.08,1.71
Profit before tax,3.3,2.19,5.66,4.96,4.69,4.49,4.84,4.28,2.67,5.55
Tax,0.85,0.65,1.43,1.5,1.09,1.33,1.27,1.1,0.78,1.59
Net profit,2.44,1.54,3.44,2.92,3.34,2.93,3.12,2.4,1.58,3.65
OPM,0.1373439273552781,0.1223288943945494,0.19462365591397848,0.15819466605881013,0.14288918797667116,0.1406451612903226,0.15480984340044743,0.18115942028985507,0.13327330031517334,0.146122736064709
