QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,32.29,30.37,32.74,39.38,42.38,42.32,41.25,29.54,39.19,52.34
Expenses,28.34,25.53,27.41,34.04,34.56,35.99,35.12,25.77,34.8,45.34
Operating Profit,3.95,4.84,5.33,5.34,7.82,6.33,6.13,3.77,4.39,7
Other Income,0.11,0.11,0.09,0.12,0.13,0.15,0,0.13,0.07,0.25
Depreciation,0.88,0.77,0.83,0.91,0.9,0.83,0.83,0.92,1.22,1.31
Interest,0.99,0.84,1.07,1.31,2.73,1.77,1.73,2.06,2.38,2.05
Profit before tax,2.19,3.34,3.52,3.24,4.32,3.88,3.57,0.92,0.86,3.89
Tax,0.65,0.95,0.91,0.89,1.26,1.2,0.93,0.34,0.24,1.22
Net profit,1.54,2.4,2.61,2.35,3.07,2.68,2.64,0.58,0.63,2.67
OPM,0.1223288943945494,0.15936779716825814,0.16279780085522297,0.1356018283392585,0.18452100047192072,0.14957466918714557,0.1486060606060606,0.12762356127285038,0.11201837203368206,0.13374092472296523
