ENTERO HEALTHCARE SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,0,0,0,0.1,0.1,3.85,4.11,43.49,43.51,43.51
Reserves,0,0,0,-16.13,-31.85,-61.8,-72.7,1594.57,1680.64,1645.1
Borrowings,0,0,0,602.8,720.05,973.62,1101.37,337.98,385.23,677.16
Other Liabilities,0,0,0,162.2,147.34,209.63,275.27,368.91,593.14,1234.46
Total,0,0,0,748.97,835.64,1125.3,1308.05,2344.95,2702.52,3600.23
Net Block,0,0,0,186.25,188.57,261.97,267.73,289.34,559.29,958.03
Capital Work in Progress,0,0,0,2.26,2.24,0.64,0,0,0.26,2.45
Investments,0,0,0,0,0,0,0,0,57.56,129.89
Other Assets,0,0,0,560.46,644.83,862.69,1040.32,2055.61,2085.41,2509.86
Total,0,0,0,748.97,835.64,1125.3,1308.05,2344.95,2702.52,3600.23
Working Capital,0,0,0,398.26000000000005,497.49,653.0600000000001,765.05,1686.7,1492.27,1275.4
Debtors,0,0,0,231.8,242.59,374.6,514.88,615.4,830.36,1212.44
Inventory,0,0,0,194.55,243.93,310.16,341.63,421.16,659.78,841.68
Debtor Days,0,0,0,62.68949778456159,49.93815915627996,54.21300756917928,56.945224697822255,57.26752857372313,59.47693974229657,67.14102569937842
Inventory Turnover,0,0,0,6.937136982780776,7.268888615586438,8.131512767603818,9.660187922606328,9.313111406591318,7.723453272302889,7.831016538351868
Return on Equity,,,,,,,,0.02387580430509261,0.054995215033494756,0.06812703939926923
Return on Capital Emp,,,,0.05671728275133357,0.014430580281866877,0.011434129067251882,0.046477969668197804,0.06728883748446235,0.08829447155983963,0.10445683384914471
