POLY MEDICURE LTD,,,,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,454.34,519.25,610.15,686.59,785.3,922.46,1114.75,1374.91,1669.03,1874.51,1997.4299999999998,2229.0741823584704,2120.420448823568
Expenses,360.88000000000005,397.29,478.91999999999996,520.46,568.81,707.4499999999998,847.34,1013.7499999999999,1213,1428.85,1536.0800000000002,1656.7421811809866,1630.6631236283156
Operating Profit,93.45999999999992,121.95999999999998,131.23000000000002,166.13,216.49,215.01000000000022,267.40999999999997,361.1600000000002,456.03,445.6600000000001,461.35,572.3320011774838,489.7573251952526
Other Income,13.94,15.62,19.67,20.6,21.73,40.35,38.11,60.11,93.99,118.75,110.49000000000001,0,0
Depreciation,23.73,29.24,37.29,40.53,47.52,53.95,57.17,63.44,83.18,115.52,128.17,128.17,128.17
Interest,8.49,11.58,13.53,20.48,10.64,6.16,10.86,13.56,14.32,21.42,21.84,21.84,21.84
Profit before tax,75.18,96.76,100.08,125.72,180.06,195.25,237.49,344.27,452.52,427.47,421.83,422.3220011774838,339.7473251952526
Tax,20.06,26.16,34.67,29.85,44.18,48.74,58.21,86.01,113.95,106.74,108.91,0.25818457672522105,0.25818457672522105
Net profit,55.13,70.59,65.4,95.88,135.87,146.51,179.28,258.26,338.56,322.14,315.09000000000003,313.28497406172687,252.02980584619027
EPS,6.250566893424036,8.003401360544219,7.4149659863945585,10.870748299319727,14.167883211678832,15.277372262773723,18.694473409801876,26.902083333333334,33.42152023692004,31.769230769230766,31.085779834622237,30.907701701666756,24.864461126336153
Price to earning,43.44405949573735,31.374160645983846,29.602293577981648,21.43826658322904,58.04325090159711,62.15074056378404,50.95891064257028,59.073491829938824,67.17976872637051,37.49225181598063,55.47230949887333,55.47230949887333,46.92995493473151
Price,271.55,251.1,219.5,233.05,822.35,949.5,952.65,1589.2,2245.25,1191.1,1724.4,1714.5215946937121,1166.8880401353392
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.4001451115545075,0.2498937526561836,0.26987767584097855,0.18408427200667501,0.1764186354603665,0.16367483448228792,0.1605310129406515,0.1114768063192132,0.10473771266540643,0.11013844912149996,,,
OPM,0.2057049786503498,0.23487722676937886,0.21507825944439896,0.24196390859173594,0.27567808480835354,0.23308327732367823,0.23988338192419822,0.2626790117171307,0.27323055906724264,0.23774746467076735,0.23097179876140844,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.17054912079565843,0.17391290794389813,0.19006431526882062,0.1891503285437104,0.12311342516311871,0.1891503285437104,0.12311342516311871
,,,,,,OPM,0.24717493949331212,0.25249212404554117,0.25091364442770353,0.25675771838689027,0.23097179876140844,0.25675771838689027,0.23097179876140844
,,,,,,Price to Earning,46.92995493473151,51.47612382029297,55.38791217958627,54.804455467790824,55.47230949887333,55.47230949887333,46.92995493473151
