INDEGENE LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,0,0,64.58,22.27,172.03,297.04,130.2,507.7,441.9,650.8
Cash from Investing Activity,0,0,-18.3,-15.78,-81.03,-157.6,-896,-326.5,-677,-508.4
Cash from Financing Activity,0,0,-21.24,136.36,-131.51,233.48,333.1,-66.2,287.5,-82.6
Net Cash Flow,0,0,25.04,142.85,-40.5,372.92,-432.7,115,52.4,59.8
