Date,Symbol,% change,Ltp
2026-09-17 15:29,CNXPHARMA,1.6563,26579.25
2026-09-17 15:29,NIFTYINDDEFENCE,1.5642,9271.9004
2026-09-17 15:29,NIFTYHEALTHCARE,1.5638,16529.1504
2026-09-17 15:29,CNXREALTY,1.4532,834.25
2026-09-17 15:29,NIFTYMEDIA,1.1947,1533.15
2026-09-17 15:29,NIFTYAUTO,0.9872,27159.1504
2026-09-17 15:29,NIFTYMIDCAP50,0.9604,17728.75
2026-09-17 15:29,NIFTYMETAL,0.9369,12858.4502
2026-09-17 15:29,NIFTYMIDSELECT,0.9336,14421.8496
2026-09-17 15:29,NIFTYSMALLCAP50,0.9244,9787.75
2026-09-17 15:29,NIFTYMIDCAP150,0.8943,22568.8496
2026-09-17 15:29,NIFTYMIDSMALLCAP400,0.8677,20924.9004
2026-09-17 15:29,NIFTYMICROCAP250,0.8478,25962.1504
2026-09-17 15:29,NIFTYSMALLCAP250,0.817,18009.25
2026-09-17 15:29,CNXSMALLCAP,0.7602,19535.6992
2026-09-17 15:29,NIFTYCHEMICALS,0.7446,28966.8008
2026-09-17 15:29,CNXINFRA,0.6802,8969.2998
2026-09-17 15:29,NIFTYLARGEMID250,0.6448,16224.5996
2026-09-17 15:29,NIFTYCOMMODITIES,0.6291,9501.5498
2026-09-17 15:29,NIFTYCONSUMPTION,0.584,11428
2026-09-17 15:29,NIFTYTOTALMKT,0.5584,12813.2002
2026-09-17 15:29,NIFTY500,0.5443,22654.6504
2026-09-17 15:29,CNXENERGY,0.5334,37381.75
2026-09-17 15:29,NIFTY200,0.497,13548.9004
2026-09-17 15:29,NIFTY100,0.3904,24377.75
2026-09-17 15:29,CNXIT,0.2336,29155.5996
2026-09-17 15:29,NIFTY,0.2283,23270.5996
2026-09-17 15:29,NIFTYFINSERVICE,0.2215,25318.3496
2026-09-17 15:29,NIFTYFMCG,0.0301,45572.6992
2026-09-17 15:29,NIFTYOILANDGAS,-0.1389,10857.3496
2026-09-17 15:29,NIFTYPSUBANK,-0.1583,8262.7998
2026-09-17 15:29,BANKNIFTY,-0.4205,56055.75
2026-09-17 15:29,NIFTYPVTBANK,-0.4217,27169.1992
2026-09-17 15:29,INDIAVIX,-6.6819,12.29
2026-09-17 15:29,NIFTYHOUSING,1.7e+308,11061.2002
