Date,Symbol,Column1,Std deviation,Annual std dev,Roc
2026-09-17 15:29,BOSCHLTD,70668.79,1.5987,28.5732,19.9673
2026-09-17 15:29,NIFTYMIDSMLHLTH,65881.9941,0.8224,14.386,14.7838
2026-09-17 15:29,NEULANDLAB,59753.7334,2.2262,39.7466,46.5378
2026-09-17 15:29,POWERINDIA,58042.0541,2.6748,44.6706,64.1524
2026-09-17 15:29,APARINDS,51542.634,2.9531,46.3695,101.2094
2026-09-17 15:29,NIFTYSML250MQ100,37124.8316,0.9171,17.8888,2.5223
2026-09-17 15:29,SOLARINDS,36069.3008,2.4287,35.4828,28.2375
2026-09-17 15:29,NIFTYALPHA50,33022.9884,0.9885,19.1176,6.2096
2026-09-17 15:29,PTCIL,32422.6796,2.7302,36.9524,51.72
2026-09-17 15:29,CNXPHARMA,28639.0025,0.8052,13.7354,17.1584
2026-09-17 15:29,OFSS,27014.7652,2.0191,33.5406,28.8534
2026-09-17 15:29,NIFTYMICROCAP250,26581.5763,1.0123,19.7181,7.02
2026-09-17 15:29,NIFTYEES,23597.5477,1.6253,39.3689,55.5137
2026-09-17 15:29,MTARTECH,23500.2413,4.571,61.7451,292.593
2026-09-17 15:29,KOVAI,22449.3573,1.7136,116.2057,231.0315
2026-09-17 15:29,DIVISLAB,20456.4286,1.5912,24.1513,50.371
2026-09-17 15:29,DYNAMATECH,20273.4774,2.6684,45.8439,64.0958
2026-09-17 15:29,NIFTYMS400MQ100,19972.0875,0.8418,17.2744,2.0046
2026-09-17 15:29,CRAFTSMAN,19243.9891,2.1802,36.1527,61.3841
2026-09-17 15:29,TASTYBITE,17178.8107,2.5489,35.5327,6.0241
2026-09-17 15:29,VOLTAMP,17129.1968,3.0175,40.4574,44.8327
2026-09-17 15:29,LMW,16335.3745,1.9191,32.4066,19.5316
2026-09-17 15:29,YASHO,16223.7433,4.4371,60.4097,132.7867
2026-09-17 15:29,CNXSMALLCAP,16106.2131,0.9296,18.0292,5.5724
2026-09-17 15:29,VADILALIND,15628.3766,2.5184,38.4719,26.4986
2026-09-17 15:29,SMLMAH,15438.6028,4.0355,59.9149,66.1991
2026-09-17 15:29,NIFTYHEALTHCARE,14817.8144,0.7713,13.5147,11.0752
2026-09-17 15:29,GRWRHITECH,13917.318,2.8685,54.7113,91.9897
2026-09-17 15:29,SANSERA,13447.8461,2.64,41.2499,168.7291
2026-09-17 15:29,NIFTYSMALLCAP250,13301.1749,0.8846,17.0787,2.8753
2026-09-17 15:29,CNXNIFTYJUNIOR,12934.3518,0.8942,16.9236,2.0182
2026-09-17 15:29,INDOTECH,12785.4995,2.8878,60.2421,87.522
2026-09-17 15:29,CENTUM,12568.4387,3.1063,50.3353,53.3686
2026-09-17 15:29,FOSECOIND,12378.0457,2.7655,40.1953,12.1137
2026-09-17 15:29,BAJAJ-AUTO,12288.7413,1.5154,23.1335,28.1837
2026-09-17 15:29,NIFTY500MOMENTM50,12191.3789,0.9838,18.5939,2.47
2026-09-17 15:29,HONAUT,12155.404,2.3031,30.5636,-8.8674
2026-09-17 15:29,CNXMIDCAP,11965.6454,0.8077,16.4474,3.956
2026-09-17 15:29,CPPLUS,11719.4216,2.8084,44.1003,140.7468
2026-09-17 15:29,WENDT,11346.0773,2.4432,35.2124,-8.8024
2026-09-17 15:29,NAVINFLUOR,11178.6305,2.1733,36.5495,71.4715
2026-09-17 15:29,SPECTRUM,11175.5288,3.9016,56.6894,119.8328
2026-09-17 15:29,DIXON,11088.7053,2.2751,39.0686,-26.8856
2026-09-17 15:29,DATAPATTNS,10464.8115,3.3701,51.6001,54.2235
2026-09-17 15:29,RADICO,10250.2308,1.5339,32.9229,43.4889
2026-09-17 15:29,WELCORP,10142.6308,2.9791,41.5851,172.2173
2026-09-17 15:29,KENNAMET,10091.1568,3.2136,38.6959,99.0008
2026-09-17 15:29,APOLLOHOSP,10022.0066,1.0826,18.155,12.3231
2026-09-17 15:29,KINGFA,9883.709,2.1149,37.1099,32.9587
2026-09-17 15:29,NIFTYCONSURDURBL,9760.9037,1.1312,20.2786,-3.3826
2026-09-17 15:29,NIFTYSMALLCAP50,9437.4929,0.926,18.2391,9.855
2026-09-17 15:29,NIFTYINDDEFENCE,9417.3403,1.3533,24.8114,11.4572
2026-09-17 15:29,NETWEB,9050.1947,3.6611,59.2022,39.614
2026-09-17 15:29,SHRIPISTON,8795.3027,1.9562,38.6165,69.1115
2026-09-17 15:29,THANGAMAYL,8749.4105,3.8545,60.2173,123.3001
2026-09-17 15:29,VINDHYATEL,8608.6306,4.6552,58.5632,73.1225
2026-09-17 15:29,NOVARTIND,8537.0002,4.1823,66.5152,269.3809
2026-09-17 15:29,KDDL,8366.1428,3.2183,43.9833,46.2556
2026-09-17 15:29,ACUTAAS,8237.1472,2.6985,45.1375,127.3575
2026-09-17 15:29,ABB,8152.1829,1.9639,29.9132,31.1501
2026-09-17 15:29,WHEELS,7859.1516,4.2035,50.9505,163.1899
2026-09-17 15:29,NIFTYMIDSMALLCAP400,7794.6504,0.8073,16.1797,2.9095
