Date,Symbol,% from 30w ema
2026-09-17 15:29,CNXPHARMA,6.4942
2026-09-17 15:29,NIFTYMICROCAP250,5.9862
2026-09-17 15:29,NIFTYSMALLCAP50,5.5747
2026-09-17 15:29,NIFTYHEALTHCARE,4.5606
2026-09-17 15:29,CNXSMALLCAP,4.2067
2026-09-17 15:29,NIFTYSMALLCAP250,3.2806
2026-09-17 15:29,NIFTYMETAL,2.4579
2026-09-17 15:29,NIFTYINDDEFENCE,1.7315
2026-09-17 15:29,NIFTYMEDIA,1.6227
2026-09-17 15:29,NIFTYMIDSMALLCAP400,1.2344
2026-09-17 15:29,NIFTYMIDCAP50,1.1343
2026-09-17 15:29,NIFTYMIDSELECT,1.0241
2026-09-17 15:29,NIFTYMIDCAP150,0.1825
2026-09-17 15:29,NIFTYHOUSING,0
2026-09-17 15:29,NIFTYAUTO,-0.3682
2026-09-17 15:29,NIFTYPVTBANK,-0.8354
2026-09-17 15:29,NIFTYCHEMICALS,-1.1599
2026-09-17 15:29,NIFTYTOTALMKT,-1.2434
2026-09-17 15:29,NIFTYLARGEMID250,-1.3006
2026-09-17 15:29,BANKNIFTY,-1.3866
2026-09-17 15:29,NIFTY500,-1.6224
2026-09-17 15:29,NIFTYCONSUMPTION,-1.8947
2026-09-17 15:29,CNXREALTY,-1.9075
2026-09-17 15:29,CNXENERGY,-2.0916
2026-09-17 15:29,NIFTYPSUBANK,-2.2105
2026-09-17 15:29,NIFTY200,-2.2771
2026-09-17 15:29,NIFTYCOMMODITIES,-2.6714
2026-09-17 15:29,NIFTY100,-2.8824
2026-09-17 15:29,CNXINFRA,-3.2891
2026-09-17 15:29,NIFTYFINSERVICE,-3.2959
2026-09-17 15:29,NIFTYOILANDGAS,-3.4453
2026-09-17 15:29,NIFTY,-3.5356
2026-09-17 15:29,CNXIT,-4.452
2026-09-17 15:29,NIFTYFMCG,-6.9861
2026-09-17 15:29,INDIAVIX,-10.3542
