Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-17,122,24,11,4,602,1658,763,1497,1064,1196
2026-09-16,76,63,15,4,483,1778,707,1554,1036,1225
2026-09-15,43,342,16,7,475,1786,701,1560,1029,1232
2026-09-11,73,37,29,4,789,1472,961,1300,1176,1085
2026-09-10,95,53,33,5,867,1394,1021,1240,1183,1078
2026-09-09,107,57,43,4,912,1350,1061,1201,1203,1059
2026-09-08,115,37,39,1,957,1305,1071,1191,1243,1019
2026-09-07,120,39,31,1,930,1332,1070,1192,1248,1014
2026-09-04,131,25,26,2,1020,1242,1171,1091,1258,1004
2026-09-03,134,14,32,2,954,1308,1108,1154,1245,1017
2026-09-02,79,21,22,3,810,1451,995,1267,1221,1041
2026-09-01,76,52,28,2,875,1387,1076,1186,1249,1013
2026-08-31,93,54,17,2,1009,1251,1177,1083,1259,1001
2026-08-28,123,19,18,3,1105,1156,1253,1008,1305,956
2026-08-27,58,41,22,4,1057,1204,1224,1037,1290,971
2026-08-26,117,15,21,4,1163,1098,1295,966,1331,930
2026-08-25,70,38,21,3,1090,1168,1246,1014,1302,958
2026-08-24,109,39,23,2,1041,1219,1240,1021,1282,979
2026-08-21,99,21,26,3,1090,1170,1262,998,1287,973
2026-08-20,124,27,33,6,1069,1191,1248,1012,1279,981
2026-08-19,72,42,24,6,932,1329,1134,1127,1242,1019
2026-08-18,107,37,28,8,1017,1244,1218,1043,1265,996
2026-08-17,131,78,35,11,1076,1185,1226,1035,1281,980
2026-08-14,84,75,30,10,1126,1131,1263,994,1295,962
2026-08-13,116,70,33,7,1185,1073,1309,950,1314,945
2026-08-12,100,91,29,5,1178,1080,1321,938,1314,945
2026-08-11,103,70,30,3,1257,1001,1365,894,1357,902
2026-08-10,120,71,31,3,1326,931,1419,840,1367,892
2026-08-07,83,69,36,3,1375,882,1420,838,1371,887
2026-08-06,101,50,42,3,1442,815,1449,809,1359,899
2026-08-05,126,37,31,3,1463,795,1449,810,1365,894
2026-08-04,112,40,29,3,1345,913,1366,893,1331,929
2026-08-03,208,28,20,6,1386,872,1383,876,1335,925
2026-07-31,122,31,16,6,1068,1188,1213,1044,1247,1011
2026-07-30,38,62,12,7,927,1330,1147,1111,1216,1043
2026-07-29,108,39,11,4,1041,1216,1228,1030,1231,1028
2026-07-28,44,91,10,4,878,1378,1128,1129,1176,1082
2026-07-27,141,29,19,4,1078,1179,1237,1021,1223,1036
2026-07-24,70,32,16,4,761,1496,1095,1163,1200,1059
