Date,Symbol,% change
2026-09-17 15:29,MBECL,12649
2026-09-17 15:29,BODALCHEM,92.7914
2026-09-17 15:29,TBZ,87.7981
2026-09-17 15:29,XTRANET,84.1106
2026-09-17 15:29,RAYMOND,59.316
2026-09-17 15:29,STLNETWORK,57.4067
2026-09-17 15:29,SPECTRUM,44.802
2026-09-17 15:29,ANTELOPUS,44.7581
2026-09-17 15:29,BIRLACABLE,42.9054
2026-09-17 15:29,BHAGERIA,40.2216
2026-09-17 15:29,WHEELS,40.1174
2026-09-17 15:29,MVGJL,40.0598
2026-09-17 15:29,AHCL,40
2026-09-17 15:29,NOVARTIND,39.7262
2026-09-17 15:29,INDORAMA,39.643
2026-09-17 15:29,KOPRAN,39.368
2026-09-17 15:29,VALIANTORG,35.8782
2026-09-17 15:29,UNIVPHOTO,33.2899
2026-09-17 15:29,JINDWORLD,33.0437
2026-09-17 15:29,GMMPFAUDLR,32.9952
2026-09-17 15:29,HLEGLAS,32.0152
2026-09-17 15:29,ARROWGREEN,30.9679
2026-09-17 15:29,PAISALO,30.8123
2026-09-17 15:29,SHAREINDIA,29.2391
2026-09-17 15:29,VENUSPIPES,28.8971
2026-09-17 15:29,ASTEC,28.8872
2026-09-17 15:29,CENTUM,27.6757
2026-09-17 15:29,SAKAR,26.5461
2026-09-17 15:29,MILKYMIST,26.4369
2026-09-17 15:29,SHIVALIK,26.3687
2026-09-17 15:29,SYSTMTXC,25.6832
2026-09-17 15:29,MOREPENLAB,24.6743
2026-09-17 15:29,SHANTIGEAR,24.3759
2026-09-17 15:29,BLISSGVS,23.3083
2026-09-17 15:29,MVELECTRO,23.0674
2026-09-17 15:29,ROSSTECH,23.0016
2026-09-17 15:29,NRAIL,22.922
2026-09-17 15:29,TECHNOCRAF,22.5854
2026-09-17 15:29,STAR,22.0956
2026-09-17 15:29,TAALTECH,21.3962
2026-09-17 15:29,FEDDERSHOL,21.2944
2026-09-17 15:29,GENESYS,21.2879
2026-09-17 15:29,PROZONER,21.2395
2026-09-17 15:29,SOLARA,21.2225
2026-09-17 15:29,TATACHEM,20.9811
2026-09-17 15:29,YUKEN,20.9325
2026-09-17 15:29,QUADFUTURE,20.5641
2026-09-17 15:29,ASIANHOTNR,20.4294
2026-09-17 15:29,SMLMAH,19.7632
2026-09-17 15:29,OAL,19.7109
2026-09-17 15:29,RACLGEAR,19.6363
2026-09-17 15:29,ANDHRAPAP,19.5808
2026-09-17 15:29,SOFTTECH,19.3848
2026-09-17 15:29,GRAPHITE,19.1947
2026-09-17 15:29,SSWL,19.0802
2026-09-17 15:29,STLTECH,18.9121
2026-09-17 15:29,INDNIPPON,18.8194
2026-09-17 15:29,KISSHT,18.7562
2026-09-17 15:29,UNITEDPOLY,18.4829
2026-09-17 15:29,TEGA,18.4162
2026-09-17 15:29,ELANTAS,18.1508
2026-09-17 15:29,WSTCSTPAPR,18.0605
2026-09-17 15:29,BIL,18.0246
2026-09-17 15:29,LALITHAA,17.9385
2026-09-17 15:29,AEGISVOPAK,17.9127
2026-09-17 15:29,GOODLUCK,17.7796
2026-09-17 15:29,KLBRENG-B,17.7027
2026-09-17 15:29,RUBYMILLS,17.2131
2026-09-17 15:29,63MOONS,17.0635
2026-09-17 15:29,VALIANTLAB,17.0274
2026-09-17 15:29,PDMJEPAPER,17.0133
2026-09-17 15:29,KANORICHEM,16.9721
2026-09-17 15:29,RGL,16.9494
2026-09-17 15:29,GRAUWEIL,16.738
2026-09-17 15:29,TNPETRO,16.6972
2026-09-17 15:29,SPLPETRO,16.6185
2026-09-17 15:29,BHAGYANGR,16.6101
2026-09-17 15:29,SATIA,16.5833
2026-09-17 15:29,SBC,16.4053
2026-09-17 15:29,MANALIPETC,16.2429
2026-09-17 15:29,RMDRIP,16.2121
2026-09-17 15:29,SUPRIYA,16.0108
2026-09-17 15:29,SETL,15.725
2026-09-17 15:29,MANAKSTEEL,15.7067
2026-09-17 15:29,RBZJEWEL,15.663
2026-09-17 15:29,MMP,15.4294
2026-09-17 15:29,FILATEX,15.3748
2026-09-17 15:29,LOKESHMACH,15.3562
2026-09-17 15:29,GKSL,15.2505
2026-09-17 15:29,KAPSTON,15.2295
2026-09-17 15:29,JUBLPHARMA,15.1815
2026-09-17 15:29,WELENT,15.0902
2026-09-17 15:29,AXISCADES,14.8428
