COMPANY NAME,MARSONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,111.39,,,,,,,,,
Market Capitalization,1913.47,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,99.99,16.7,0.35,,0.33,1.59,4.56,6.46,168.36,245.03
Raw Material Cost,91.42,60.49,0.71,,,0.34,1.74,2.97,139.35,185.57
Change in Inventory,0.7,,,,,0.06,-0.06,,10.72,-4.99
Power and Fuel,0.71,0.55,0.4,0.15,0.37,0.59,0.86,0.86,1.2,1.55
Other Mfr. Exp,0.9,0.32,0.01,,0.15,0.1,0.02,0.07,5.92,
Employee Cost,1.16,1.26,0.69,0.02,0.12,0.24,0.26,0.36,1.16,3.45
Selling and admin,1.51,0.03,,,0.22,0.34,0.36,0.61,1.57,
Other Expenses,2.32,1.33,17.81,0.47,0.05,0.03,0.22,0.42,4.7,7.17
Other Income,1.0,-7.97,-0.91,-0.08,,0.02,6.29,0.16,3.36,2.03
Depreciation,1.71,4.52,3.14,2.26,1.64,1.21,0.9,0.7,0.37,0.75
Interest,10.09,4.98,0.02,,0.01,0.11,3.16,,0.15,1.36
Profit before tax,-8.13,-64.75,-23.34,-2.98,-2.23,-1.29,3.27,0.63,28.02,42.22
Tax,1.81,,-1.76,,,,,,,-4.07
Net profit,-9.94,-64.76,-21.58,-2.99,-2.23,-1.29,3.27,0.63,28.02,46.29
Dividend Amount,,,,,,,,,,0.86
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,0.65,3.77,29.88,38.51,44.17,55.8,47.03,59.8,45.94,92.26
Expenses,0.33,3.17,24.83,32.7,40.0,45.67,39.72,51.23,39.07,73.24
Other Income,0.01,0.03,0.36,1.81,2.37,-1.18,0.99,0.93,0.64,-0.01
Depreciation,0.18,0.18,0.14,0.14,0.18,-0.09,0.17,0.22,0.23,0.14
Interest,,,0.03,0.01,0.04,0.06,0.1,0.09,0.8,0.37
Profit before tax,0.15,0.45,5.24,7.47,6.32,8.98,8.03,9.19,6.48,18.5
Tax,,,,,,,,,,-4.07
Net profit,0.15,0.45,5.24,7.47,6.32,8.99,8.03,9.2,6.48,22.58
Operating Profit,0.32,0.6,5.05,5.81,4.17,10.13,7.31,8.57,6.87,19.02
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,25.0,25.0,25.0,12.5,12.5,12.5,12.5,14.0,17.21,17.21
Reserves,-7.53,-72.28,-94.02,-9.08,-11.31,-12.75,-9.48,0.22,105.28,200.34
Borrowings,76.26,86.2,84.28,22.39,22.89,22.66,14.51,9.02,2.59,0.7
Other Liabilities,43.73,37.29,22.79,0.31,0.54,0.89,5.9,6.43,27.35,72.45
Total,137.46,76.21,38.05,26.12,24.62,23.3,23.43,29.67,152.43,290.7
Net Block,28.69,24.17,20.88,18.76,17.11,15.91,13.22,12.64,14.19,64.89
Capital Work in Progress,0.12,0.14,0.14,,,,,,,25.45
Investments,12.19,2.74,,,,,,,37.34,
Other Assets,96.46,49.16,17.03,7.36,7.51,7.39,10.21,17.03,100.9,200.36
Total,137.46,76.21,38.05,26.12,24.62,23.3,23.43,29.67,152.43,290.7
Receivables,39.46,41.52,9.71,7.08,7.11,6.91,9.45,14.63,68.28,107.29
Inventory,49.78,0.39,,,,0.06,0.19,0.81,14.95,58.01
Cash & Bank,1.11,1.11,0.04,0.15,0.15,0.1,0.11,0.26,1.26,10.99
No. of Equity Shares,25000000.0,25000000.0,25000000.0,125000000.0,125000000.0,125000000.0,125000000.0,140000000.0,172100000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,4.24,-6.58,0.85,-13.37,-0.5,0.34,0.1,-4.2,-35.03,1.6
Cash from Investing Activity,-0.56,1.33,-0.01,3.14,,,8.09,-0.12,-37.66,12.1
Cash from Financing Activity,-3.99,5.25,-1.91,10.34,0.49,-0.39,-8.18,4.47,73.68,-3.97
Net Cash Flow,-0.31,-0.01,-1.07,0.11,,-0.05,0.01,0.16,0.99,9.74
PRICE:,12.7,3.29,1.33,5.59,11.54,12.37,6.35,36.72,188.25,122.97
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.5,2.5,2.5,12.5,12.5,12.5,12.5,14.0,17.21,17.21
