Date,Symbol,Current price,Market cap,Category,Sector,Industry,% change,Volume
2026-09-22 15:29,CINEVISTA,14.51,81.2152,smallcap,realty,construction,2.6167,150406
2026-09-22 15:29,LAXMICOT,13.05,22.1891,smallcap,textiles,textiles - cotton/blended,0.8501,7690
2026-09-22 15:29,HCL-INSYS,10.79,352.2546,smallcap,i.t,computers - hardware,0.8411,531935
2026-09-22 15:29,ZEEMEDIA,7.56,479.1184,smallcap,media,entertainment / electronic media software,3.42,2865132
2026-09-22 15:29,CREATIVEYE,6.25,11.1323,smallcap,media,entertainment / electronic media software,12.6126,104668
2026-09-22 15:29,TREEHOUSE,6.05,24.7095,smallcap,services,miscellaneous,3.5959,21627
2026-09-22 15:29,PREMIER,2.83,8.4436,smallcap,industrials,engineering,1.7986,35580
2026-09-22 15:29,GLOBE,2.22,101.3442,smallcap,textiles,textiles - products,-1.3333,1261268
2026-09-22 15:29,AGSTRA,2.1,25.815,smallcap,miscellaneous,miscellaneous,4.4776,257095
2026-09-22 15:29,VIKASLIFE,1.26,228.4932,smallcap,services,trading,2.439,1613858
2026-09-22 15:29,SUNDARAM,1.17,55.4437,smallcap,miscellaneous,printing & stationery,0,232872
2026-09-22 15:29,SANWARIA,0.19,13.9859,smallcap,fmcg,food - processing - indian,0,571650
