Date,Sector,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-22 15:29,healthcare,59.7561,70.7317,71.9512,72.561,71.3415
2026-09-22 15:29,telecom,50,40,40,40,40
2026-09-22 15:29,aerospace & defence,47.0588,64.7059,70.5882,73.5294,73.5294
2026-09-22 15:29,transportation,46.2963,53.7037,51.8519,53.7037,53.7037
2026-09-22 15:29,energy,46.1538,53.8462,48.7179,53.8462,48.7179
2026-09-22 15:29,chemicals,44.6541,54.717,53.4591,50.3145,49.6855
2026-09-22 15:29,services,42.9752,33.8843,37.1901,34.7107,33.0579
2026-09-22 15:29,metals & mining,42.6357,46.5116,48.8372,49.6124,49.6124
2026-09-22 15:29,co-working,40,60,60,60,60
2026-09-22 15:29,industrials,38.6266,51.9313,54.9356,55.3648,57.0815
2026-09-22 15:29,i.t,38.5475,41.8994,40.7821,38.5475,37.9888
2026-09-22 15:29,auto,36.8932,51.4563,54.3689,54.3689,56.3107
2026-09-22 15:29,realty,36.6492,27.7487,28.2723,26.7016,25.1309
2026-09-22 15:29,textiles,36.4341,41.0853,38.7597,37.2093,37.2093
2026-09-22 15:29,consumer discretionary,34.8101,39.8734,43.6709,44.9367,44.3038
2026-09-22 15:29,n/a,28.2407,30.5556,31.9444,34.7222,35.1852
2026-09-22 15:29,miscellaneous,28.2353,35.2941,36.4706,37.6471,38.8235
2026-09-22 15:29,financials,27.8539,38.3562,41.0959,40.6393,40.6393
2026-09-22 15:29,fmcg,27.7419,40.6452,42.5806,41.2903,42.5806
2026-09-22 15:29,telecom-service,27.2727,18.1818,18.1818,18.1818,18.1818
2026-09-22 15:29,media,27.0833,25,31.25,27.0833,27.0833
2026-09-22 15:29,building materials,27.0833,32.2917,31.25,31.25,28.125
2026-09-22 15:29,bank,26.8293,43.9024,56.0976,56.0976,58.5366
2026-09-22 15:29,plastic products,25.8065,38.7097,35.4839,32.2581,32.2581
2026-09-22 15:29,power & utilities,21.875,12.5,18.75,25,25
2026-09-22 15:29,indices,13.0536,37.0629,49.6503,51.7483,57.1096
