Date,Abv 10ma,Abv 20ma,Abv 50ma,Abv 200ma
2026-03-12,25.0682,18.6988,17.4704,17.4704
2026-03-11,25.6025,19.3724,17.9627,18.281
2026-03-10,24.1128,18.8808,17.8344,18.4713
2026-03-09,10.8341,11.8314,12.9646,15.9112
2026-03-06,17.714,16.8488,17.8506,18.8069
2026-03-05,16.9932,17.3121,18.5877,18.6333
2026-03-04,9.1075,11.4754,15.8925,17.2131
2026-03-02,14.1625,18.0209,19.8366,20.3359
2026-02-27,27.7499,28.754,26.8827,23.7335
2026-02-26,33.6832,32.953,29.7125,24.8288
2026-02-25,28.8128,31.0502,28.8584,24.5662
2026-02-24,24.8629,28.245,26.5082,24.1773
2026-02-23,31.7561,34.5314,30.9827,25.6142
2026-02-20,31.5068,35.4338,30.9132,25.1142
2026-02-19,30.1188,35.1005,31.0786,25.4113
2026-02-18,46.5935,46.4106,36.6255,27.9378
2026-02-17,43.4584,43.6871,34.6752,26.9899
2026-02-16,34.7469,38.4861,31.3725,26.1742
2026-02-13,39.0009,42.5298,32.8598,25.9853
2026-02-12,57.791,57.0119,40.9258,28.6434
2026-02-11,71.5399,66.0862,45.2337,29.835
2026-02-10,79.3119,69.9083,46.9266,30.1376
2026-02-09,77.2042,66.6514,42.8506,29.2828
2026-02-06,58.0852,47.7783,31.0582,24.2327
2026-02-05,62.7864,49.6792,30.9808,24.5646
2026-02-04,75.4008,57.7645,32.9363,26.1109
2026-02-03,66.9721,47.0454,27.989,24.645
2026-02-02,31.2757,21.3992,15.2263,18.8843
2026-02-01,30.9524,20.696,14.1026,17.8114
2026-01-30,42.7064,27.844,18.578,20.5046
2026-01-29,30.4727,20.3763,15.374,18.7242
2026-01-28,32.4461,20.6976,15.2363,18.5406
2026-01-27,14.8995,11.3346,11.3346,16.4534
2026-01-23,11.4837,10.1975,10.5191,16.169
2026-01-22,17.6768,13.5904,13.2231,18.5032
2026-01-21,7.6217,8.5399,10.5601,16.483
2026-01-20,7.3955,9.2788,11.0703,17.3174
2026-01-19,16.6972,16.8801,17.4748,21.0887
2026-01-16,21.9972,21.0308,20.2945,23.5159
2026-01-14,21.6751,20.9388,21.0769,23.9301
2026-01-13,17.6633,18.8132,19.5032,23.3211
2026-01-12,14.0238,16.7278,18.561,23.2356
2026-01-09,13.45,17.5956,20.3132,23.86
2026-01-08,24.1363,27.3607,25.9788,27.7752
2026-01-07,44.1786,42.5679,34.8366,31.5232
2026-01-06,41.3254,41.3254,32.9498,30.8329
2026-01-05,51.3067,47.5011,36.4053,31.912
2026-01-02,67.0968,55.8065,37.235,32.0276
2026-01-01,50.8974,43.9945,31.4772,29.8665
2025-12-31,52.9954,43.1797,30.4147,29.8157
2025-12-30,34.3318,32.9954,25.6682,27.6498
2025-12-29,35.0161,32.492,26.8013,27.9027
2025-12-26,45.5509,38.497,28.9534,29.0456
2025-12-24,55.6939,44.8133,30.521,29.9677
2025-12-23,62.4712,46.5652,30.8898,29.9216
2025-12-22,59.0533,40.9007,27.6654,29.5037
2025-12-19,40.24,29.2109,23.4887,27.7342
2025-12-18,24.2494,21.3857,19.6305,25.9122
2025-12-17,25.5771,21.7452,20.9603,26.2696
2025-12-16,35.9057,27.7726,22.5046,27.634
2025-12-15,44.0092,29.5392,24.5161,28.6175
2025-12-12,39.7222,27.2222,23.7963,27.5463
2025-12-11,28.2739,21.3327,20.8237,26.2379
2025-12-10,20.9162,16.7515,17.6307,25.6826
2025-12-09,20.1669,17.2925,18.7297,25.6838
2025-12-08,10.1711,11.6505,16.135,24.6417
2025-12-05,22.7484,19.9164,21.6806,28.4123
2025-12-04,22.2377,20.5664,22.6091,28.7372
2025-12-03,22.0056,21.1699,23.0269,29.6657
2025-12-02,26.2889,24.431,25.8244,30.562
