Date,4% advance,4% decline,Net breadth,3% range,5d range,Volume,+15% in 5d,-10% in 5d,10% + 10ema,10% - 10ema
2026-09-04,8.1425,2.2053,5.9372,46.056,7.3791,0.4655,2.3325,1.7388,2.2477,0.7209
2026-09-03,7.7151,1.6956,6.0195,46.2484,6.9097,0.3957,2.3315,1.5685,2.0772,0.8478
2026-09-02,4.8791,2.2486,2.6305,43.1905,6.364,0.3388,1.8244,2.2486,1.6122,0.9334
2026-09-01,4.2797,4.661,-0.3814,38.8136,8.0508,0.4051,2.161,1.5678,1.8644,0.9322
2026-08-31,5.9272,5.3345,0.5927,33.3192,8.5944,0.6203,1.9475,1.8205,1.8205,0.8467
2026-08-28,7.5064,1.8236,5.6828,50.2545,12.341,0.3068,2.3749,1.3995,1.8236,0.6361
2026-08-27,3.8168,3.944,-0.1272,46.1832,12.4682,0.3218,2.7566,1.5267,1.3995,0.6785
2026-08-26,7.409,1.6935,5.7155,48.1795,13.4632,0.3402,3.2176,1.0584,2.2862,0.6774
2026-08-25,4.2391,3.1369,1.1022,47.9017,13.4379,0.3502,2.5011,1.4837,1.738,0.7206
2026-08-24,7.2304,3.0444,4.186,39.7886,12.685,0.5269,3.0021,1.5222,2.833,0.5074
2026-08-21,6.6186,1.8244,4.7942,47.9847,12.3038,0.4342,3.0123,2.0365,1.9092,0.4243
2026-08-20,7.2974,2.291,5.0064,46.4574,10.9461,0.4267,2.885,2.9275,2.3759,0.3818
2026-08-19,5,3.6441,1.3559,44.3644,10.2542,0.4083,2.8814,3.1356,1.9068,0.5932
2026-08-18,6.4407,2.9661,3.4746,46.1441,10.2966,0.4457,3.0508,3.8559,2.3729,0.8475
2026-08-17,7.6662,5.2944,2.3719,40.7878,9.6146,0.5674,3.1343,4.1931,3.0496,1.0165
2026-08-14,5.138,4.7983,0.3397,42.9299,8.9172,0.5036,2.7176,3.6518,2.4204,0.552
2026-08-13,7.4278,4.4567,2.9711,41.8506,9.253,0.6215,2.7589,3.056,2.292,0.6791
2026-08-12,5.7823,5.5697,0.2126,40.4337,9.0136,0.6978,2.5085,3.4864,2.6786,0.6803
2026-08-11,6.5023,4.5474,1.955,45.0914,9.9023,0.6767,3.1449,2.8049,3.0174,0.5525
2026-08-10,7.6401,5.5603,2.0798,38.0306,10.5263,0.883,3.1834,2.5467,2.8438,0.6367
2026-08-07,5.7021,4.6383,1.0638,45.6596,10.1702,0.652,3.7447,1.7021,2.3404,0.6383
2026-08-06,5.9625,3.4923,2.4702,44.7615,9.4549,0.8245,4.3867,1.3203,2.2998,0.5963
2026-08-05,7.7021,2.3404,5.3617,44.8511,9.0213,0.7883,3.5319,1.6596,2.8085,0.7234
2026-08-04,6.6894,2.9825,3.7069,46.2718,8.4789,0.654,3.0677,1.5339,2.5991,0.6391
2026-08-03,12.8347,2.1249,10.7097,37.9516,8.4998,0.9363,2.0824,1.7,2.2099,0.6375
2026-07-31,7.8565,2.4338,5.4227,44.0649,10.7173,0.5387,1.8787,1.4518,1.4518,0.6405
2026-07-30,2.862,4.3571,-1.4951,46.8603,7.39,0.3833,1.4524,2.1358,1.1961,0.7262
2026-07-29,7.3536,2.3514,5.0021,47.1997,7.0543,0.4462,1.4109,1.7529,1.3681,0.6841
2026-07-28,2.95,6.3702,-3.4203,42.8816,5.7289,0.3311,1.0261,2.5224,0.9833,0.6841
2026-07-27,8.4825,2.6854,5.7971,39.8124,5.243,0.4607,1.5345,1.9182,1.1083,0.7246
2026-07-24,4.3181,2.3514,1.9667,38.5207,5.3442,0.3059,1.7101,1.8811,1.0688,0.6841
2026-07-23,3.7275,3.599,0.1285,41.431,7.6264,0.3386,1.5853,2.5707,1.2425,0.7284
2026-07-22,3.4232,5.3059,-1.8828,40.2225,8.9003,0.3071,1.4549,2.5246,1.4549,0.6846
2026-07-21,5.6886,2.053,3.6356,50.5988,11.2062,0.2826,1.7536,1.882,1.4542,0.4705
2026-07-20,5.4701,2.6496,2.8205,46.3675,10.1282,0.2714,1.2393,2.5641,1.1111,0.6838
2026-07-17,2.3545,4.5377,-2.1832,44.4349,9.2894,0.2429,1.0702,1.3271,0.899,0.5565
2026-07-16,3.8889,2.6068,1.2821,47.1368,9.8291,0.2709,1.7949,1.1111,0.9829,0.4701
