IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,0,0,0,0,0,2184.02,2217.11,2132.79,2079.21,2319.06,2523.63,2586.5782117246454,2357.163393709418
Expenses,0,0,0,0,0,1924.6399999999999,1990.85,1902.16,1876.73,2049.3199999999997,2213.31,2268.5177390474337,2103.4936538404436
Operating Profit,0,0,0,0,0,259.3800000000001,226.26000000000022,230.62999999999988,202.48000000000002,269.74000000000024,310.32,318.06047267721175,253.66973986897452
Other Income,0,0,0,0,0,17.02,25.02,30.03,22.23,9.4,10.98,0,0
Depreciation,0,0,0,0,0,43.26,46.16,62.91,71.99,80.23,81.8,81.8,81.8
Interest,0,0,0,0,0,8.29,16.47,16.1,14.76,14.55,13.96,13.96,13.96
Profit before tax,0,0,0,0,0,224.85,188.65,181.65,137.96,184.36,225.54000000000002,222.30047267721176,157.90973986897453
Tax,0,0,0,0,0,57.18,49.51,47.22,36.89,46.72,57.43,0.2546333244657267,0.2546333244657267
Net profit,0,0,0,0,0,167.67,139.14,134.43,101.07,137.64,168.11,165.6953642891109,117.70065784061944
EPS,0,0,0,0,0,5.712776831345826,4.740715502555366,4.580238500851789,3.4436115843270865,4.689608177172061,5.727232806921337,5.644970116658009,4.009868948789594
Price to earning,,,,,,12.382769726247988,11.932797901394279,15.78302090307223,17.75751954091224,15.517287852368499,35.470882160490156,35.470882160490156,18.140713014080898
Price,0,0,0,0,0,70.74,56.57,72.29,61.15,72.77,203.15,200.23206980746463,72.74188182406628
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0,0,0.14003697739607565,0.16875089837573667,0.21840363014208136,0.23231423765706938,0.21331008427782622,,,
OPM,0,0,0,0,0,0.11876264869369334,0.10205177009710849,0.10813535322277387,0.09738314071209739,0.11631436875285686,0.12296572793951568,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,0.015098645090372953,0.11535631321511532,0.11535631321511532,0.015098645090372953
,,,,,,OPM,0.10871472230175293,0.10871472230175293,0.10871472230175293,0.1076165277918133,0.12296572793951568,0.12296572793951568,0.1076165277918133
,,,,,,Price to Earning,18.140713014080898,18.140713014080898,18.140713014080898,21.132177614210782,35.470882160490156,35.470882160490156,18.140713014080898
