LAXMI ORGANIC INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,1075.93,1375.52,1568.52,1534.12,1768.45,3084.19,2796.64,2865.01,2985.44,2846.67,3122.08,3122.08,2865.1773739494397
Expenses,956.76,1221.97,1413.7399999999998,1417.5399999999997,1548.4299999999998,2712.9999999999995,2548.4899999999993,2609.2999999999997,2699.04,2674.4700000000003,2867.09,2865.6579930827675,2631.169411762895
Operating Profit,119.17000000000007,153.54999999999995,154.7800000000002,116.58000000000015,220.0200000000002,371.1900000000005,248.15000000000055,255.7100000000005,286.4000000000001,172.19999999999982,254.99,256.4220069172325,234.00796218654477
Other Income,1.84,3.02,5.8,30.15,3.92,14.88,12.05,28.23,18.6,14.5,13.229999999999999,0,0
Depreciation,27.97,31.29,44.06,48.89,46.52,49.28,72.41,106.59,124.03,76.64,81.19999999999999,81.19999999999999,81.19999999999999
Interest,10.96,11.97,18.93,17.04,19.01,18.89,14.87,6.55,20.45,22.09,21.48,21.48,21.48
Profit before tax,82.08,113.31,97.59,80.8,158.41,317.9,172.92,170.8,160.52,87.97,165.54000000000002,153.74200691723252,131.32796218654477
Tax,10.39,37.62,25.2,10.56,31.34,61.44,48.3,50.26,47.02,8.61,39.85,0.2407273166606258,0.2407273166606258
Net profit,71.57,75.7,72.39,70.1,127.03,256.37,124.57,120.54,113.5,79.36,125.7,116.73210613402776,99.7137342468697
EPS,71.57,75.7,14.478,15.577777777777776,4.817216533940083,9.722032612817596,4.697209653092006,4.370558375634518,4.097472924187726,2.8639480332010105,4.522972009972646,4.200286783686267,3.587927040639957
Price to earning,,,,,36.22423836888924,41.08194406521824,47.42177089186802,53.814634146341454,42.77026431718061,37.748589969758065,39.40771678599841,43.43530130481964,39.40771678599841
Price,0,0,0,0,174.5,399.4,222.75,235.2,175.25,108.11,178.24,182.4407220160648,141.39201266636482
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0.1124108416547789,0.10375501849956703,0.07200530483285876,0.1064461748414546,0.1372988219678115,0.12202643171806167,0.10471270161290323,,,
OPM,0.1107599936798863,0.11163051064324761,0.09867900951215171,0.07599144786587761,0.12441403488930997,0.12035250746549353,0.0887314777733282,0.08925274257332452,0.09593225789163409,0.0604917324452781,0.08167311535899145,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.11416713886272145,0.08887531396783599,0.09988902315634829,0.005927898692358768,0.09674813027151016,0.09674813027151016,0.005927898692358768
,,,,,,OPM,0.09578552808635797,0.09341171285846282,0.09148405640024841,0.08213178615449716,0.08167311535899145,0.08213178615449716,0.08167311535899145
,,,,,,Price to Earning,42.63845122075058,42.63845122075058,43.707486696060805,43.43530130481964,39.40771678599841,43.43530130481964,39.40771678599841
