IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,503.92,502.38,525.75,523.3,527.78,551.69,567.53,580.39,619.45,756.26
Expenses,453.84,451.58,484.19,476.43,464.84,489.54,510.43,523.12,526.88,652.71
Operating Profit,50.08,50.8,41.56,46.87,62.94,62.15,57.1,57.27,92.57,103.55
Other Income,7.52,7.38,6.43,4.07,4.52,7.37,6.88,-5.92,1.74,8.18
Depreciation,16.42,16.8,17.93,18.66,18.53,19.75,19.98,20.17,20.27,21.32
Interest,3.41,2.15,4.12,4.46,4.03,4.23,3.48,3.63,3.21,3.64
Profit before tax,37.77,39.23,25.94,27.82,44.9,45.54,40.52,27.55,70.83,86.77
Tax,9.58,9.55,6.79,7.27,13.28,11.58,10.52,6.97,17.65,22.29
Net profit,28.19,29.68,19.15,20.55,31.62,33.96,30,20.58,53.18,64.48
OPM,0.099380854103826,0.10111867510649308,0.07904897765097481,0.08956621440856105,0.11925423471901171,0.11265384545668762,0.10061142142265608,0.09867502885990455,0.14943901848413912,0.1369238092719435
