GRANULES INDIA LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1175.78,1179.86,966.62,1137.7,1197.43,1210.1,1296.98,1387.94,1470.61,1476.77
Expenses,920.07,920.59,763.3,907.41,945.07,963.39,1018.75,1079.85,1118.51,1137.87
Operating Profit,255.71,259.27,203.32,230.29,252.36,246.71,278.23,308.09,352.1,338.9
Other Income,1.87,2.06,3.26,5.68,32.67,-9.56,-1.15,-3.64,24.69,2.27
Depreciation,53.18,52.87,52.52,56.61,63.5,68.85,72.02,73.53,81.75,79.65
Interest,28.76,27.02,25.67,26.57,23.98,23.78,29.19,28.69,32.69,21.12
Profit before tax,175.64,181.44,128.39,152.79,197.55,144.52,175.87,202.23,262.35,240.4
Tax,46,46.79,31.15,35.19,45.52,31.88,45.26,52.03,60.79,60.44
Net profit,129.65,134.65,97.23,117.6,152.03,112.64,130.61,150.21,201.57,179.96
OPM,0.21748116144176632,0.21974641059108707,0.21034118888498066,0.2024171574228707,0.21075135916086954,0.20387571275101232,0.2145214266989468,0.221976454313587,0.23942445651804356,0.22948732707192046
