AARTI DRUGS LTD,,,,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,1195.17,1243.63,1560.94,1806.09,2154.78,2488.65,2716.05,2528.58,2387.03,2565.31,2677.58,2756.9051901735625,2514.8292871446793
Expenses,1004.6800000000001,1041.75,1350.02,1540.58,1714.39,2156.0599999999995,2406.59,2207.56,2096.8,2253.53,2344.27,2413.720647064953,2204.5638826374975
Operating Profit,190.49,201.8800000000001,210.92000000000007,265.51,440.3900000000001,332.5900000000006,309.46000000000004,321.02,290.23,311.77999999999975,333.31,343.1845431086093,310.26540450718176
Other Income,4,1.05,6.18,5.95,4.74,11.32,2.19,3.85,16.36,2.39,0.8,0,0
Depreciation,38.46,40.06,42.56,48.75,49.88,50.05,50.32,51.45,55.78,66.97,70.71000000000001,70.71000000000001,70.71000000000001
Interest,40.02,38.36,43.51,37.42,26.23,23.91,37.14,37.89,39.04,36.3,34.37,34.37,34.37
Profit before tax,116.01,124.51,131.03,185.29,369.02,269.95,224.19,235.53,211.77,210.9,229.02999999999997,238.1045431086093,205.18540450718174
Tax,34.21,42.2,41.27,43.89,88.61,64.96,57.83,63.93,43.67,15.97,37.93,0.1656114919442868,0.1656114919442868
Net profit,81.8,82.31,89.75,141.4,280.41,205.04,166.31,171.42,168.16,194.92,191.18,198.67169448567978,171.20434354155537
EPS,8.574423480083858,8.728525980911984,9.517497348886533,15.17167381974249,30.086909871244636,22.14254859611231,17.960043196544277,18.652883569096844,18.418400876232198,21.34939759036144,20.946634390922192,21.767461806760785,18.758001832319287
Price to earning,16.79179951100244,14.492710484752763,16.740745403899723,8.277267326732673,23.07648086730145,19.37897971127585,18.805634056881726,23.28326332983316,18.4760882492864,14.977003386004517,20.614290197719427,20.614290197719427,17.719478411335466
Price,143.98,126.5,159.33,125.58,694.3,429.1,337.75,434.3,340.3,319.75,431.8,448.72077455234086,332.3820085075727
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.029217603911980444,0.028672093305795163,0.02629526462395543,0.032956152758132955,0.08309261438607753,0.04516191962543894,0.05567915338825086,0.05361101388402754,0.05429352997145576,0.09362815514057049,,,
OPM,0.159383183982195,0.16233123999903515,0.1351237075095776,0.14700817788703774,0.20437817317777224,0.13364273803065943,0.11393751955965466,0.12695663178542899,0.12158623896641432,0.12153696824165491,0.12448180819994174,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.08857081274870815,0.07354919146848693,0.03549351563128944,-0.018853110964124564,0.0746869540810127,0.0746869540810127,-0.018853110964124564
,,,,,,OPM,0.13921524656075226,0.136423954839729,0.12337434039487233,0.12338455697962279,0.12448180819994174,0.12448180819994174,0.12337434039487233
,,,,,,Price to Earning,17.719478411335466,18.3611258906294,19.255876488500178,19.337661290710876,20.614290197719427,20.614290197719427,17.719478411335466
