IOL CHEMICALS & PHARMACEUTICALS LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,0,0,0,0,0,93.05,122.27,289.78,178.62,214.32
Cash from Investing Activity,0,0,0,0,0,-120.52,-120,-190.98,-154.18,-198.11
Cash from Financing Activity,0,0,0,0,0,-1.64,-4.11,-92.5,46.04,-29.03
Net Cash Flow,0,0,0,0,0,-29.11,-1.84,6.3,70.48,-12.82
