LAXMI ORGANIC INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,10.01,10.01,50.05,45.02,52.73,52.73,53.04,55.16,55.41,55.43
Reserves,295.46,369.31,399.8,381.9,981.86,1247.94,1358.74,1742.47,1851.27,1930.17
Borrowings,103.79,215.06,175.33,158.85,149.45,139.13,405.72,142.79,257.56,543.02
Other Liabilities,240.08,300.36,389.3,483.6,653.58,825.26,594.7,886.81,880.34,914.55
Total,649.34,894.74,1014.48,1069.37,1837.62,2265.06,2412.2,2827.23,3044.58,3443.17
Net Block,202.41,293.33,345.68,337.65,325.06,394.39,714.6,878.74,1166.48,1480.65
Capital Work in Progress,60.93,29.95,31.48,67.49,147.93,373.78,447.06,444.16,398.44,651.72
Investments,0,0,0,0,3.25,5.25,22.77,125.85,148.16,36.95
Other Assets,386,571.46,637.32,664.23,1361.38,1491.64,1227.77,1378.48,1331.5,1273.85
Total,649.34,894.74,1014.48,1069.37,1837.62,2265.06,2412.2,2827.23,3044.58,3443.17
Working Capital,145.92,271.1,248.02000000000004,180.63,707.8000000000001,666.3800000000001,633.0699999999999,491.6700000000001,451.15999999999997,359.29999999999995
Debtors,231.56,324.18,326.18,359.37,434.64,668.42,570.25,583.44,537.95,523.55
Inventory,74.62,145.83,170.75,151.89,203.3,373.62,294.21,283.34,377.99,365.13
Debtor Days,78.55473869117878,86.02252239153194,75.9032081197562,85.50181863218002,89.70771014164946,79.10449745314004,74.42547127982151,74.32979291520797,65.76978602819015,67.12957596068388
Inventory Turnover,14.418788528544626,9.432352739491188,9.18606149341142,10.1002040950688,8.69872110181997,8.254884642149777,9.505591244349274,10.111562080892217,7.898198365036112,7.796319119217813
Return on Equity,0.2342946934232494,0.1995676473689761,0.16092030676892297,0.16419938161716482,0.12278293816874318,0.19710610685262211,0.08823612744195271,0.06705495569166069,0.05952755575135838,0.03996776792908944
Return on Capital Emp,,0.2496512693794588,0.19108530945586935,0.16159213840373263,0.20049609845124614,0.2567153484968595,0.11530408620636723,0.09438732064546346,0.08817782715255343,0.04690529868779379
