16	06
16	2026
21	5
21	1,
22	400
22	001
23	400
23	051
24	542460
30	30
30	2026
32	30
35	30
36	2015,
37	30
37	2026.
51	2026.08
51	06
52	12
52	52
52	24
52	05
52	30
55	57117
63	1
63	27
64	6
64	2026
68	1
68	27
69	6
69	2026
93	1
93	27
99	3
106	100
110	1897
112	1931,
117	1
117	27
123	3
132	14600
132	6300
132	4500
132	2800
134	9303
134	5266
134	822
134	564
135	14
135	21
135	28
137	11
138	1061
138	745
138	174
140	14
140	27
140	21
140	11
148	27
148	05
148	2026
148	26
148	4
152	1
152	27
159	1.
160	2.
160	1
160	27
161	3.
161	27
162	4.
169	1
169	27
176	1
176	27
177	27
183	01
186	01
189	1
189	27
194	1
194	27
195	125.2
195	9.5
203	315
203	985
204	150
221	02
221	1
221	27
225	02
225	27
228	1
228	27
228	1
228	27
235	1
236	1
236	1
237	26
238	27
238	26
240	822.3
241	125.2
241	175.2
241	28.5
242	9.5
242	40.4
242	76.5
242	174.2
243	7.6
243	23.0
243	21.2
244	0.9
244	35.3
244	97.4
244	139.3
245	0.7
245	20.1
245	16.9
246	0.6
246	26.3
246	97.8
246	110.4
247	0.6
247	15.0
247	13.4
253	1
253	27
253	1
253	27
258	1
258	27
263	40
263	22
264	11
269	11
269	9
269	7
274	1
274	27
274	1
274	27
279	1
279	27
282	1
282	27
282	1
282	27
285	33.3
285	26.7
285	61.3
285	49.0
286	75.3
286	60.1
286	50.6
286	40.0
287	7.1
287	5.7
287	13.3
287	11.0
288	3.5
288	2.8
288	125.2
288	100.0
289	6.0
289	4.8
290	125.2
290	100.0
299	03
299	27
302	03
302	27
305	1
305	27
305	27
310	06
313	566.3
313	57.5
313	603.8
313	61.3
314	296.5
314	30.1
314	381.2
314	38.7
315	32.6
315	3.3
315	985.0
315	100.0
316	10.5
316	1.1
317	79.1
317	8.0
318	985.0
318	100.0
326	1
326	27
326	27
331	27
332	985
332	240
332	28
333	61
333	39
334	1,100
349	04
354	1
354	27
359	62
360	1962
362	1962
372	26
376	822
389	1
389	27
399	1
399	2
399	3
399	4
399	5
399	6
399	7
399	8
399	9
399	10
428	1
428	27
442	100
454	350
454	220
454	50
454	30
457	400
457	250
458	40
458	25
460	550
460	340
466	1
466	27
474	45,000
474	2
476	23,000
476	2
477	15
479	5.5
480	50
481	500
481	8
483	500
483	2
491	1
491	27
499	125,000
499	2
501	10,000
501	2
501	1
502	17
504	8.5
505	100
507	1000
509	2023
510	1
510	2
510	2023
511	2
511	2
511	2
512	26
512	26
513	3
513	3
519	1
519	27
527	20,000
527	2
529	5,100
529	2
530	10
531	5.0
533	75
545	1
545	27
572	1
572	27
584	1
584	27
596	13445
598	13
602	2000
602	0
614	1
614	27
623	8
623	3
625	3
625	18
631	3
634	3
646	66
647	382415,
653	91
653	7036228882
657	91
657	9712540067
659	91
659	79
659	4025
659	8900
