date,time,group,% 3 quarter ago,% 2 quarter ago,% 1 quarter ago,% current quarter,change in % in 3 qtrs,change in % in 1 qtr
2026-09-04,15:29,ADVIKCA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AEROPLANE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AGL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AJAXENGG,9.4209,9.7118,10.1525,11.1658,1.7449,1.0133
2026-09-04,15:29,AKCAPIT,1.7e+308,1.7e+308,0,0.1078,1.7e+308,0.1078
2026-09-04,15:29,ALFREDHE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ALIVUS,5.1867,5.6147,7.1246,7.2768,2.0901,0.1522
2026-09-04,15:29,ALKYLAMINE,2.8817,3.0037,3.0148,3.1069,0.2252,0.0921
2026-09-04,15:29,ALLDIGI,1.3677,1.4276,1.4429,1.5699,0.2022,0.127
2026-09-04,15:29,ALPHA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ALPHAETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ALPINETEX,1.7e+308,1.7e+308,1.7e+308,0,1.7e+308,1.7e+308
2026-09-04,15:29,ALPL30IETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ALUFLUOR,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AMAGI,1.7e+308,31.6905,37.0124,37.1168,1.7e+308,0.1044
2026-09-04,15:29,AMAL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AMARJOTHI,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AMBER,20.1993,23.8583,27.9224,30.5491,10.3498,2.6267
2026-09-04,15:29,AMBIKCO,1.6369,1.6435,1.7023,1.7143,0.0774,0.012
2026-09-04,15:29,ANNAPURNA,1.7e+308,1.7e+308,1.7e+308,0.3563,1.7e+308,1.7e+308
2026-09-04,15:29,ANSALBU,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ANUP,15.7256,16.1138,16.4065,16.5233,0.7977,0.1168
2026-09-04,15:29,AONEGOLD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AONELIQUID,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AONENIFTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AONESILVER,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AONETMMQ50,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AONETOTAL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,APOORVA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,APTUS,25.8761,27.2892,29.44,29.9112,4.0351,0.4712
2026-09-04,15:29,ARCL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ARDEE,1.7e+308,1.7e+308,1.7e+308,0,1.7e+308,1.7e+308
2026-09-04,15:29,ARROWGREEN,0.6865,0.7913,0.8212,0.9932,0.3067,0.172
2026-09-04,15:29,ARYAMAN,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ASAHISONG,0.0285,0.2969,0.3054,0.3236,0.2951,0.0182
2026-09-04,15:29,ASHIKA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ASHIKAG,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ASIANTNE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ASKAUTOLTD,4.9947,9.132,10.2566,10.9701,5.9754,0.7135
2026-09-04,15:29,ASSAMENT,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,ASTRAL,14.902,17.7881,19.5359,21.3053,6.4033,1.7694
2026-09-04,15:29,ASTRAMICRO,14.5504,14.757,15.4246,16.0903,1.5399,0.6657
2026-09-04,15:29,ASTRAZEN,5.2599,5.5606,5.7965,6.0799,0.82,0.2834
2026-09-04,15:29,ATAM,0.0923,0.9932,1.0063,1.0664,0.9741,0.0601
2026-09-04,15:29,AURUS,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AUSTENG,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AUTOAXLES,14.1799,14.5767,15.1525,15.4419,1.262,0.2894
2026-09-04,15:29,AUTOBEES,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AUTOIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AVANCE,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AVL,16.4605,17.4497,19.5775,21.6725,5.212,2.095
2026-09-04,15:29,AXISNIFTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AXTEL,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,AYE,1.7e+308,18.1666,18.3949,19.752,1.7e+308,1.3571
2026-09-04,15:29,AYMSYNTEX,0.4103,0.4142,0.4581,0.4755,0.0652,0.0174
2026-09-04,15:29,AZADIND,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BAJAJST,1.7e+308,1.7e+308,0.0083,0.0107,1.7e+308,0.0024
2026-09-04,15:29,BANDHANBNK,17.8893,18.8352,22.4004,27.5512,9.6619,5.1508
2026-09-04,15:29,BANK10ADD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANK10BETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKADD,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKBEES,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKBETA,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKBETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKIETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKNIFTY,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKNIFTY1,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BANKPSU,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BBETF0432,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
2026-09-04,15:29,BBNPNBETF,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308,1.7e+308
