date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,AEROENTER,51.5851,51.5851,51.5851,52.2979,0.7128
2026-09-04,15:29,AERONEU,60.459,60.459,60.459,60.459,0
2026-09-04,15:29,AFCONS,50.167,50.167,50.167,50.167,0
2026-09-04,15:29,AGARIND,57.1972,57.1972,57.1972,57.1972,0
2026-09-04,15:29,AGI,60.2386,60.2386,60.3932,60.3932,0.1546
2026-09-04,15:29,AGRITECH,30.9005,30.9005,30.9005,30.9005,0
2026-09-04,15:29,AGROPHOS,54.2683,54.2683,54.2683,54.2683,0
2026-09-04,15:29,AGSTRA,26.4761,26.4761,26.4761,26.4761,0
2026-09-04,15:29,AHLADA,49.3035,49.3035,49.3035,49.3035,0
2026-09-04,15:29,AHLEAST,65.6337,65.6337,65.6337,65.6337,0
2026-09-04,15:29,AHLUCONT,55.3177,55.3177,55.3177,55.3177,0
2026-09-04,15:29,AHLWEST,72.026,72.0738,72.1161,72.1161,0.0901
2026-09-04,15:29,AIAENG,58.4957,58.4957,58.4957,58.4957,0
2026-09-04,15:29,AIIL,68.7913,68.7913,68.8114,68.8114,0.0201
2026-09-04,15:29,AIROLAM,53.1367,53.4143,53.4143,53.4143,0.2776
2026-09-04,15:29,AJAXENGG,79.9984,79.9984,79.9984,79.9984,0
2026-09-04,15:29,AJMERA,68.2302,68.2302,68.2302,68.5559,0.3257
2026-09-04,15:29,AKASH,74.5882,74.5882,74.5882,74.5882,0
2026-09-04,15:29,AKG,37.6013,37.6013,37.6013,50.6891,13.0878
2026-09-04,15:29,AKI,53.923,53.923,53.923,53.923,0
2026-09-04,15:29,AKUMS,75.2605,75.2605,75.2605,75.2604,-0.0001
2026-09-04,15:29,ALANKIT,54.1478,54.1478,54.1478,54.1478,0
2026-09-04,15:29,ALBERTDAVD,62.2369,62.2369,62.2369,62.2369,0
2026-09-04,15:29,ALEMBICLTD,70.8816,70.8816,70.8816,70.8816,0
2026-09-04,15:29,ALKALI,69.5884,69.5884,69.5884,69.5884,0
2026-09-04,15:29,ALKYLAMINE,72.0266,72.0265,72.0461,72.0431,0.0165
2026-09-04,15:29,ALLDIGI,73.3867,73.3867,73.3867,73.3867,0
2026-09-04,15:29,ALLTIME,70.1427,70.1436,70.1451,70.1456,0.0029
2026-09-04,15:29,ALOKINDS,74.9983,74.9983,74.9983,74.9983,0
2026-09-04,15:29,AMANTA,63.5578,63.5578,63.7212,63.8019,0.2441
2026-09-04,15:29,AMBICAAGAR,43.4148,43.4148,43.4148,43.4148,0
2026-09-04,15:29,AMBIKCO,50.3467,50.3467,50.3467,50.3467,0
2026-09-04,15:29,AMJLAND,65.939,65.939,65.939,65.939,0
2026-09-04,15:29,AMNPLST,73.168,73.168,73.168,73.168,0
2026-09-04,15:29,AMRUTANJAN,46.5164,46.5164,46.5164,46.5164,0
2026-09-04,15:29,ANDHRAPAP,72.448,72.448,72.448,72.448,0
2026-09-04,15:29,ANDHRSUGAR,49.9369,50.4939,50.4939,50.4939,0.557
2026-09-04,15:29,ANKITMETAL,71.0188,71.0188,71.0188,71.0188,0
2026-09-04,15:29,ANMOL,50.2047,50.2047,50.2047,50.2047,0
2026-09-04,15:29,ANSALAPI,48.7714,48.7714,48.7714,48.7714,0
2026-09-04,15:29,ANURAS,59.0725,59.0725,59.0725,59.0725,0
2026-09-04,15:29,APCL,75,75,75,75,0
2026-09-04,15:29,APCOTEXIND,58.2288,58.2288,58.2288,58.2288,0
2026-09-04,15:29,APEX,72.621,72.621,72.621,72.621,0
2026-09-04,15:29,APLLTD,69.7393,69.7393,69.7393,69.8722,0.1329
2026-09-04,15:29,APOLLOHOSP,28.0191,28.0191,28.0191,28.0191,0
2026-09-04,15:29,APOLLOPIPE,46.8351,46.8351,51.7161,51.7161,4.881
2026-09-04,15:29,APTECHT,47.3504,47.3504,47.3504,47.3504,0
2026-09-04,15:29,ARCHIDPLY,69.8894,69.8894,69.8894,69.8894,0
2026-09-04,15:29,ARE&M,32.8617,32.8617,32.8617,32.8617,0
2026-09-04,15:29,ARIES,52.6588,52.6588,52.6588,52.6588,0
2026-09-04,15:29,ARIHANTSUP,71.1009,71.1009,71.1009,71.1009,0
2026-09-04,15:29,ARKADE,71.0855,71.1393,71.1393,71.1932,0.1077
2026-09-04,15:29,ARROWGREEN,64.8149,64.8149,64.8345,65.6538,0.8389
2026-09-04,15:29,ARSHIYA,14.3737,14.3737,14.3737,14.3737,0
