date,time,group,% change
2026-09-04,15:29,BRIGADE,6.2586
2026-09-04,15:29,BRIGHOTEL,-1.4486
2026-09-04,15:29,BSE,2.5319
2026-09-04,15:29,BSHSL,1.7802
2026-09-04,15:29,BSOFT,-1.4308
2026-09-04,15:29,BUILDPRO,2.7951
2026-09-04,15:29,CAMPUS,-0.8571
2026-09-04,15:29,CAMS,0.3753
2026-09-04,15:29,CANFINHOME,0.5793
2026-09-04,15:29,CANHLIFE,2.177
2026-09-04,15:29,CANTABIL,-1.3996
2026-09-04,15:29,CAPITALSFB,-0.5839
2026-09-04,15:29,CAPLIPOINT,11.7037
2026-09-04,15:29,CARBORUNIV,2.252
2026-09-04,15:29,CARERATING,4.6478
2026-09-04,15:29,CARYSIL,0.0965
2026-09-04,15:29,CASTROLIND,1.8849
2026-09-04,15:29,CCL,1.0044
2026-09-04,15:29,CEIGALL,5.313
2026-09-04,15:29,CEMPRO,0.8003
2026-09-04,15:29,CENTENKA,9.2099
2026-09-04,15:29,CENTRALBK,0.8109
2026-09-04,15:29,CENTUM,12.9795
2026-09-04,15:29,CENTURYPLY,0.7267
2026-09-04,15:29,CERA,1.2332
2026-09-04,15:29,CGCL,9.1867
2026-09-04,15:29,CGPOWER,2.9998
2026-09-04,15:29,CHEMCON,-1.3771
2026-09-04,15:29,CHENNPETRO,5.6145
2026-09-04,15:29,CHEVIOT,0.4679
2026-09-04,15:29,CHOLAFIN,-1.5577
2026-09-04,15:29,CIPLA,-1.2618
2026-09-04,15:29,CLEAN,0.8078
2026-09-04,15:29,CLEANMAX,14.0066
2026-09-04,15:29,CMLL,-1.169
2026-09-04,15:29,CMPDI,5.2332
2026-09-04,15:29,CMRGREEN,4.6423
2026-09-04,15:29,CMSINFO,-1.0928
2026-09-04,15:29,COALINDIA,2.9368
2026-09-04,15:29,COCKERILL,2.1061
2026-09-04,15:29,COFFEEDAY,10.3425
2026-09-04,15:29,COFORGE,4.9362
2026-09-04,15:29,COHANCE,-1.2436
2026-09-04,15:29,COMSYN,4.3572
2026-09-04,15:29,CONFIPET,3.5011
2026-09-04,15:29,CONSOFINVT,6.0511
2026-09-04,15:29,CONTROLPR,-1.3221
2026-09-04,15:29,COROMANDEL,-0.5591
2026-09-04,15:29,CORONA,-0.1426
2026-09-04,15:29,COSMOFIRST,-0.4814
2026-09-04,15:29,CPPLUS,4.9373
2026-09-04,15:29,CRAFTSMAN,8.1507
2026-09-04,15:29,CREDITACC,0.2014
2026-09-04,15:29,CRISIL,6.3943
2026-09-04,15:29,CSLFINANCE,9.5891
2026-09-04,15:29,CUB,4.0608
2026-09-04,15:29,CUPID,-0.2958
2026-09-04,15:29,CYIENT,5.1637
2026-09-04,15:29,CYIENTDLM,7.4007
2026-09-04,15:29,DCAL,-0.5078
2026-09-04,15:29,DCBBANK,3.2315
2026-09-04,15:29,DDEVPLSTIK,-1.1765
2026-09-04,15:29,DECCANCE,-1.2822
2026-09-04,15:29,DEEDEV,3.3359
2026-09-04,15:29,DEEPINDS,18.3254
2026-09-04,15:29,DELHIVERY,1.9822
2026-09-04,15:29,DEN,1.0477
2026-09-04,15:29,DHANUKA,2.5832
2026-09-04,15:29,DHARMAJ,0.1855
2026-09-04,15:29,DIAMONDYD,-0.771
2026-09-04,15:29,DICIND,2.766
2026-09-04,15:29,DIFFNKG,22.1451
2026-09-04,15:29,DISAQ,0.1336
2026-09-04,15:29,DIVGIITTS,5.094
2026-09-04,15:29,DIVISLAB,0.831
2026-09-04,15:29,DLF,1.3978
2026-09-04,15:29,DLINKINDIA,1.6562
2026-09-04,15:29,DMART,-1.4868
2026-09-04,15:29,DMCC,2.6058
2026-09-04,15:29,DOLPHIN,9.8973
2026-09-04,15:29,DOMS,0.2132
2026-09-04,15:29,DRAGARWQ,3.3645
2026-09-04,15:29,DVL,-1.491
2026-09-04,15:29,DYCL,6.3195
2026-09-04,15:29,DYNAMATECH,1.2511
2026-09-04,15:29,EBGNG,4.1667
2026-09-04,15:29,ECOSMOBLTY,1.7201
2026-09-04,15:29,EDELWEISS,6.7545
2026-09-04,15:29,EIEL,-0.7574
2026-09-04,15:29,EIHAHOTELS,-1.4241
2026-09-04,15:29,EIMCOELECO,2.2125
2026-09-04,15:29,ELANTAS,5.6733
2026-09-04,15:29,ELCIDIN,-1.2936
2026-09-04,15:29,ELDEHSG,-1.307
2026-09-04,15:29,ELECON,1.9868
2026-09-04,15:29,ELECTCAST,7.8042
2026-09-04,15:29,ELGIEQUIP,3.9754
2026-09-04,15:29,ELPROINTL,-0.3436
2026-09-04,15:29,EMCURE,3.5064
2026-09-04,15:29,EMKAY,11.7079
2026-09-04,15:29,EMSLIMITED,1.9428
2026-09-04,15:29,ENGINERSIN,11.6193
2026-09-04,15:29,ENTERO,10.8981
2026-09-04,15:29,EPACKPEB,-0.448
2026-09-04,15:29,ERIS,0.8392
2026-09-04,15:29,ESABINDIA,-1.5496
2026-09-04,15:29,ESTER,0.2786
2026-09-04,15:29,ETERNAL,-1.2997
2026-09-04,15:29,EUREKAFORB,-0.3996
2026-09-04,15:29,EUROPRATIK,1.4618
2026-09-04,15:29,EVERESTIND,-1.1888
2026-09-04,15:29,EXCELINDUS,-0.8031
2026-09-04,15:29,EXCELSOFT,-0.383
2026-09-04,15:29,EXICOM,14.5867
2026-09-04,15:29,EXPLEOSOL,2.1649
2026-09-04,15:29,FABTECH,2.1838
2026-09-04,15:29,FAIRCHEMOR,-0.8634
2026-09-04,15:29,FAZE3Q,1.0743
2026-09-04,15:29,FCL,1.8387
2026-09-04,15:29,FDC,-1.2815
2026-09-04,15:29,FEDDERSHOL,11.2471
2026-09-04,15:29,FEDERALBNK,-0.6661
2026-09-04,15:29,FEDFINA,0.8804
2026-09-04,15:29,FIEMIND,-1.1469
2026-09-04,15:29,FILATEX,3.3648
2026-09-04,15:29,FINEORG,0.251
2026-09-04,15:29,FISCHER,-0.0277
2026-09-04,15:29,FIVESTAR,1.5532
2026-09-04,15:29,FORCEMOT,0.2865
2026-09-04,15:29,FORTIS,-0.9684
2026-09-04,15:29,FOSECOIND,3.0522
2026-09-04,15:29,FRACTAL,-0.4942
2026-09-04,15:29,FRONTSP,2.695
2026-09-04,15:29,FUSION,-0.9988
2026-09-04,15:29,GABRIEL,0.7895
2026-09-04,15:29,GAIL,-0.6247
2026-09-04,15:29,GALAPREC,-1.5952
2026-09-04,15:29,GANDHAR,4.7809
2026-09-04,15:29,GANDHITUBE,-0.1497
2026-09-04,15:29,GANESHBE,0.7852
2026-09-04,15:29,GANESHCP,5.0521
2026-09-04,15:29,GARFIBRES,0.9839
2026-09-04,15:29,GATEWAY,2.3582
2026-09-04,15:29,GAUDIUMIVF,-0.4872
2026-09-04,15:29,GAYAPROJ,-1.3599
2026-09-04,15:29,GCSL,10.6227
2026-09-04,15:29,GEECEE,0.041
2026-09-04,15:29,GENUSPOWER,-0.9675
2026-09-04,15:29,GEOJITFSL,2.3003
2026-09-04,15:29,GESHIP,2.8149
2026-09-04,15:29,GFLLIMITED,12.5829
2026-09-04,15:29,GHCL,-0.2855
2026-09-04,15:29,GHCLTEXTIL,7.9084
2026-09-04,15:29,GICHSGFIN,-0.9171
2026-09-04,15:29,GICRE,2.4875
2026-09-04,15:29,GILLETTE,-1.2291
2026-09-04,15:29,GIPCL,1.8415
2026-09-04,15:29,GKSL,13.437
2026-09-04,15:29,GLAND,1.0058
2026-09-04,15:29,GLENMARK,-0.0451
2026-09-04,15:29,GLOBAL,8.4549
2026-09-04,15:29,GLOBUSSPR,-0.1256
2026-09-04,15:29,GLOSTERLTD,0.1932
2026-09-04,15:29,GMBREW,2.9721
2026-09-04,15:29,GMMPFAUDLR,12.8268
2026-09-04,15:29,GMRAIRPORT,-1.4163
2026-09-04,15:29,GMRP&UI,0.2525
2026-09-04,15:29,GNA,0.9619
2026-09-04,15:29,GNFC,2.1309
2026-09-04,15:29,GNRL,-0.4613
2026-09-04,15:29,GOCLCORP,7.5617
2026-09-04,15:29,GODAVARIB,-0.5963
2026-09-04,15:29,GODIGIT,-0.3088
2026-09-04,15:29,GODREJAGRO,3.0523
2026-09-04,15:29,GODREJIND,2.2408
2026-09-04,15:29,GOKEX,0.2668
2026-09-04,15:29,GOODLUCK,7.2092
2026-09-04,15:29,GPTHEALTH,4.025
2026-09-04,15:29,GPTINFRA,-1.4765
2026-09-04,15:29,GRANULES,2.4269
2026-09-04,15:29,GRAPHITE,6.4577
2026-09-04,15:29,GRASIM,0.6697
2026-09-04,15:29,GRAUWEIL,6.2622
2026-09-04,15:29,GREAVESCOT,-0.0307
2026-09-04,15:29,GREENPANEL,0.2152
2026-09-04,15:29,GREENPLY,4.3136
2026-09-04,15:29,GRMOVER,-1.4746
2026-09-04,15:29,GROWW,-1.1415
2026-09-04,15:29,GRPLTD,2.2087
2026-09-04,15:29,GRWRHITECH,-0.4076
2026-09-04,15:29,GSFC,1.7555
2026-09-04,15:29,GTPL,7.6514
2026-09-04,15:29,GUFICBIO,8.924
