date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-11,15:29,SMSPHARMA,healthcare,smallcap,18.0764,17.6073
2026-09-11,15:29,STLNETWORK,telecom-service,smallcap,26.7752,1.9921
2026-09-11,15:29,SYRMA,consumer discretionary,largecap,9.0578,0.4079
2026-09-11,15:29,UNIVPHOTO,consumer discretionary,smallcap,10.1448,0.0795
2026-09-11,15:29,VENUSPIPES,metals & mining,smallcap,23.8565,3.4206
2026-09-11,15:29,WABAG,realty,midcap,13.594,4.9118
2026-09-11,15:29,WOCKPHARMA,healthcare,largecap,4.3424,0.8792
2026-09-15,15:29,OPTIEMUS,telecom,midcap,6.8344,8.7731
2026-09-21,15:29,CAPLIPOINT,healthcare,largecap,0.2911,0.7576
2026-09-21,15:29,GOCLCORP,miscellaneous,smallcap,1.6476,3.6304
2026-09-21,15:29,RSWM,textiles,smallcap,4.9909,4.3595
2026-09-21,15:29,TARSONS,healthcare,smallcap,11.4995,12.327
2026-09-21,15:29,VADILALIND,fmcg,midcap,0.7199,0.8874
2026-09-21,15:29,WOCKPHARMA,healthcare,largecap,4.8512,1.3894
2026-09-22,15:29,AGI,industrials,midcap,13.5092,1.9025
2026-09-22,15:29,CAPLIPOINT,healthcare,largecap,1.0442,0.976
2026-09-22,15:29,NELCO,telecom,smallcap,-0.0099,1.5664
2026-09-22,15:29,RSWM,textiles,smallcap,2.9991,1.2432
2026-09-22,15:29,STEELCAS,industrials,smallcap,9.4561,10.3306
2026-09-22,15:29,TARSONS,healthcare,smallcap,8.2979,0.5436
2026-09-22,15:29,TIRUPATIFL,industrials,smallcap,10.2394,0.6619
2026-09-22,15:29,VADILALIND,fmcg,midcap,3.2057,2.6454
2026-09-22,15:29,WOCKPHARMA,healthcare,largecap,4.7601,0.7873
2026-09-23,15:29,AGI,industrials,midcap,12.3683,0.7531
2026-09-23,15:29,BLUSPRING,miscellaneous,smallcap,7.4996,1.2974
2026-09-23,15:29,CAPLIPOINT,healthcare,largecap,1.6445,0.53
2026-09-23,15:29,ICIL,textiles,midcap,6.5273,2.4575
2026-09-23,15:29,INOXINDIA,industrials,midcap,3.34,0.6397
2026-09-23,15:29,KILITCH,healthcare,smallcap,15.7587,0.4139
2026-09-23,15:29,NELCO,telecom,smallcap,0.8796,1.8887
2026-09-23,15:29,RSWM,textiles,smallcap,2.2142,0.9276
2026-09-23,15:29,STEELCAS,industrials,smallcap,12.4414,2.0044
2026-09-23,15:29,SUPRIYA,healthcare,midcap,10.438,3.1092
2026-09-23,15:29,TARSONS,healthcare,smallcap,9.5884,0.2553
2026-09-23,15:29,TIRUPATIFL,industrials,smallcap,15.7506,2.0955
2026-09-23,15:29,VADILALIND,fmcg,midcap,1.7658,0.666
2026-09-23,15:29,WOCKPHARMA,healthcare,largecap,11.6773,2.968
