date,time,group,ltp,vwap
2026-09-07,15:29,BALUFORGE,557.6,556.86
2026-09-07,15:29,BEML,2097.2,2089.66
2026-09-07,15:29,BLISSGVS,691.35,688.24
2026-09-07,15:29,CAPLIPOINT,2814,2808.41
2026-09-07,15:29,CARTRADE,3179.8999,3169.68
2026-09-07,15:29,CEIGALL,370.3,365.42
2026-09-07,15:29,CENTUM,4376.8999,4230.15
2026-09-07,15:29,CHALET,908.75,906.88
2026-09-07,15:29,CONCORDBIO,1443.2,1439.44
2026-09-07,15:29,CYIENTDLM,865.35,862.84
2026-09-07,15:29,DCBBANK,221.31,220.21
2026-09-07,15:29,DEEPINDS,785.2,784.24
2026-09-07,15:29,DEVYANI,138.8,138.58
2026-09-07,15:29,E2E,630.2,628.07
2026-09-07,15:29,EBGNG,619.1,616.63
2026-09-07,15:29,ECLERX,1888.8,1883.56
2026-09-07,15:29,EDELWEISS,132.72,132.67
2026-09-07,15:29,ENTERO,1898.4,1887.07
2026-09-07,15:29,ESABINDIA,6092,6072.85
2026-09-07,15:29,FCL,56.66,55.14
2026-09-07,15:29,FINEORG,5125,5122.1
2026-09-07,15:29,FIVESTAR,526.2,526
2026-09-07,15:29,GABRIEL,1363.5,1348.93
2026-09-07,15:29,GARFIBRES,819.25,812.31
2026-09-07,15:29,GESHIP,1376.7,1373.62
2026-09-07,15:29,GMMPFAUDLR,1235.7,1224.67
2026-09-07,15:29,GRANULES,867.3,865.7
2026-09-07,15:29,GRWRHITECH,6951.5,6810.87
2026-09-07,15:29,HMT,68.18,68.17
2026-09-07,15:29,HNDFDS,628.9,620.3
2026-09-07,15:29,HOMEFIRST,1233.7,1231.26
2026-09-07,15:29,ICIL,453.7,450.66
2026-09-07,15:29,INDGN,599.35,597.3
2026-09-07,15:29,IOLCP,213.04,210.8
2026-09-07,15:29,JINDALSAW,309.55,309.49
2026-09-07,15:29,JINDWORLD,58.52,57.42
2026-09-07,15:29,JSFB,538.5,535.45
2026-09-07,15:29,JUSTDIAL,698.75,695.1
2026-09-07,15:29,JYOTICNC,1020.65,1013.04
2026-09-07,15:29,KINGFA,6056.5,6023.25
2026-09-07,15:29,KIRLFER,460.1,460.09
2026-09-07,15:29,KISSHT,320.95,319.14
2026-09-07,15:29,KMEW,2961.6001,2960.01
2026-09-07,15:29,KOVAI,6069,6057.78
2026-09-07,15:29,KPIL,1424.4,1416.71
2026-09-07,15:29,LOTUSDEV,199.71,197.98
2026-09-07,15:29,LTFOODS,448.95,448.9
2026-09-07,15:29,LUMAXTECH,1935.5,1934.3
2026-09-07,15:29,MAHSCOOTER,13493,13492.71
2026-09-07,15:29,MANINDS,819.4,800.26
2026-09-07,15:29,MANORAMA,2003.6,1998.4
2026-09-07,15:29,MARKSANS,335.05,333.82
2026-09-07,15:29,MAXESTATES,543.2,539.3
2026-09-07,15:29,MILKYMIST,276.01,270.65
2026-09-07,15:29,MOREPENLAB,118.88,118.68
