MECHANICAL FLAT DUMP of the NSE shareholding-pattern XBRL filing (source: https://nsearchives.nseindia.com/corporate/xbrl/SHP_1694365_16072026051452_WEB.xml).
Filing: Avience Biomedicals Ltd, SHP as on 24-Jun-2026 (listing date), submitted 02-Jul-2026, revised 16-Jul-2026 (remark: combine Resident HUF entries into one Any Other entry, 36,600 shares). Every line is one XBRL fact: element | context | value. Fractions are shares of total (0.6459 = 64.59%). No figure is computed or edited.
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | ShareholdingOfPromoterAndPromoterGroup_ContextI | 3542885
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | ShareholdingOfPromoterAndPromoterGroup_ContextI | 0.6459
NumberOfTheLockedInShares | ShareholdingOfPromoterAndPromoterGroup_ContextI | 3542885
LockedInSharesAsAPercentageOfTotalNumberOfShares | ShareholdingOfPromoterAndPromoterGroup_ContextI | 1
NumberOfEquitySharesHeldInDematerializedForm | ShareholdingOfPromoterAndPromoterGroup_ContextI | 3542885
NumberOfShareholders | MutualFundsOrUTI_ContextI | 1
NumberOfFullyPaidUpEquityShares | MutualFundsOrUTI_ContextI | 13800
NumberOfShares | MutualFundsOrUTI_ContextI | 13800
ShareholdingAsAPercentageOfTotalNumberOfShares | MutualFundsOrUTI_ContextI | 0.0025
NumberOfVotingRightsHeldBySameClassOfSecurities | MutualFundsOrUTI_ContextI | 13800
NumberOfVotingRights | MutualFundsOrUTI_ContextI | 13800
PercentageOfTotalVotingRights | MutualFundsOrUTI_ContextI | 0.0025
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | MutualFundsOrUTI_ContextI | 13800
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | MutualFundsOrUTI_ContextI | 0.0025
NumberOfTheLockedInShares | MutualFundsOrUTI_ContextI | 0
LockedInSharesAsAPercentageOfTotalNumberOfShares | MutualFundsOrUTI_ContextI | 0
NumberOfEquitySharesHeldInDematerializedForm | MutualFundsOrUTI_ContextI | 13800
NumberOfSharesUnderSubCategoryOne | MutualFundsOrUTI_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | MutualFundsOrUTI_ContextI | 0
NumberOfSharesUnderSubCategoryThree | MutualFundsOrUTI_ContextI | 0
NumberOfShareholders | AlternativeInvestmentFunds_ContextI | 37
NumberOfFullyPaidUpEquityShares | AlternativeInvestmentFunds_ContextI | 395000
NumberOfShares | AlternativeInvestmentFunds_ContextI | 395000
ShareholdingAsAPercentageOfTotalNumberOfShares | AlternativeInvestmentFunds_ContextI | 0.072
NumberOfVotingRightsHeldBySameClassOfSecurities | AlternativeInvestmentFunds_ContextI | 395000
NumberOfVotingRights | AlternativeInvestmentFunds_ContextI | 395000
PercentageOfTotalVotingRights | AlternativeInvestmentFunds_ContextI | 0.072
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | AlternativeInvestmentFunds_ContextI | 395000
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | AlternativeInvestmentFunds_ContextI | 0.072
NumberOfTheLockedInShares | AlternativeInvestmentFunds_ContextI | 260600
LockedInSharesAsAPercentageOfTotalNumberOfShares | AlternativeInvestmentFunds_ContextI | 0.6597
NumberOfEquitySharesHeldInDematerializedForm | AlternativeInvestmentFunds_ContextI | 395000
NumberOfSharesUnderSubCategoryOne | AlternativeInvestmentFunds_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | AlternativeInvestmentFunds_ContextI | 0
NumberOfSharesUnderSubCategoryThree | AlternativeInvestmentFunds_ContextI | 0
NumberOfShareholders | Banks_ContextI | 4
NumberOfFullyPaidUpEquityShares | Banks_ContextI | 18600
NumberOfShares | Banks_ContextI | 18600
ShareholdingAsAPercentageOfTotalNumberOfShares | Banks_ContextI | 0.0034
NumberOfVotingRightsHeldBySameClassOfSecurities | Banks_ContextI | 18600
NumberOfVotingRights | Banks_ContextI | 18600
PercentageOfTotalVotingRights | Banks_ContextI | 0.0034
NumberOfSharesOnFullyDilutedBasisIncludingWarrantsESOPAndConvertibleSecurities | Banks_ContextI | 18600
ShareholdingAsAPercentageAssumingFullConversionOfConvertibleSecuritiesWarrantsAndESOP | Banks_ContextI | 0.0034
NumberOfTheLockedInShares | Banks_ContextI | 0
LockedInSharesAsAPercentageOfTotalNumberOfShares | Banks_ContextI | 0
NumberOfEquitySharesHeldInDematerializedForm | Banks_ContextI | 18600
NumberOfSharesUnderSubCategoryOne | Banks_ContextI | 0
NumberOfSharesUnderSubCategoryTwo | Banks_ContextI | 0
NumberOfSharesUnderSubCategoryThree | Banks_ContextI | 0
NumberOfShareholders | InsuranceCompanies_ContextI | 4
NumberOfFullyPaidUpEquityShares | InsuranceCompanies_ContextI | 64200
NumberOfShares | InsuranceCompanies_ContextI | 64200
ShareholdingAsAPercentageOfTotalNumberOfShares | InsuranceCompanies_ContextI | 0.0117
NumberOfVotingRightsHeldBySameClassOfSecurities | InsuranceCompanies_ContextI | 64200
NumberOfVotingRights | InsuranceCompanies_ContextI | 64200
PercentageOfTotalVotingRights | InsuranceCompanies_ContextI | 0.0117
