# Source: screener.in quarterly shareholding table for GOODLUCK, scraped 2026-09-19 from https://www.screener.in/company/GOODLUCK/consolidated/ . Aggregator data, NOT the BSE Reg 31 filing; percentages of total shares.
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026,Aug 2026
Promoters,56.45%,54.44%,55.78%,55.78%,55.78%,55.78%,56.44%,56.44%,56.44%,56.44%,54.00%,54.00%
FIIs,1.24%,5.20%,3.93%,2.61%,1.72%,1.64%,1.20%,1.97%,1.48%,1.56%,2.48%,1.92%
DIIs,1.18%,1.85%,1.81%,1.82%,1.97%,2.06%,2.06%,3.22%,4.42%,4.99%,6.50%,6.14%
Public,41.12%,38.51%,38.47%,39.77%,40.53%,40.51%,40.29%,38.35%,37.65%,37.01%,37.02%,37.92%
No. of Shareholders,"30,161","33,246","36,313","38,258","41,028","36,763","36,261","36,272","37,212","35,423","38,457","44,709"
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Aug 2026
Promoters,60.46%,62.18%,62.18%,62.58%,65.31%,61.55%,58.73%,54.44%,55.78%,56.44%,54.00%
FIIs,2.36%,0.30%,0.00%,0.00%,0.00%,0.03%,0.07%,5.20%,1.64%,1.56%,1.92%
DIIs,7.53%,1.92%,0.06%,0.00%,0.00%,0.00%,0.04%,1.85%,2.06%,4.99%,6.14%
Public,29.65%,35.61%,37.76%,37.42%,34.69%,38.42%,41.17%,38.51%,40.51%,37.01%,37.92%
No. of Shareholders,"11,750","11,501","11,773","11,607","15,520","13,774","13,501","33,246","36,763","35,423","44,709"
