Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-16,75,63,15,4,482,1775,706,1551,1035,1222
2026-09-15,42,342,16,7,474,1783,700,1557,1028,1229
2026-09-11,73,37,29,4,788,1469,960,1297,1175,1082
2026-09-10,95,53,33,5,866,1391,1020,1237,1182,1075
2026-09-09,107,57,43,4,911,1347,1059,1199,1202,1056
2026-09-08,115,37,39,1,955,1303,1069,1189,1242,1016
2026-09-07,120,39,31,1,929,1329,1069,1189,1247,1011
2026-09-04,131,25,26,2,1019,1239,1170,1088,1257,1001
2026-09-03,134,14,32,2,952,1306,1106,1152,1243,1015
2026-09-02,79,21,22,3,809,1448,994,1264,1219,1039
2026-09-01,76,52,28,2,874,1384,1075,1183,1247,1011
2026-08-31,93,54,17,2,1007,1249,1175,1081,1257,999
2026-08-28,123,19,18,3,1104,1153,1251,1006,1303,954
2026-08-27,58,41,22,4,1056,1201,1222,1035,1288,969
2026-08-26,117,15,21,4,1161,1096,1292,965,1329,928
2026-08-25,70,38,21,3,1089,1165,1243,1013,1300,956
2026-08-24,109,39,23,2,1040,1216,1237,1020,1280,977
2026-08-21,99,21,26,3,1088,1168,1260,996,1285,971
2026-08-20,123,27,33,6,1067,1189,1245,1011,1277,979
2026-08-19,72,42,24,6,930,1327,1131,1126,1240,1017
2026-08-18,107,37,28,8,1016,1241,1216,1041,1263,994
2026-08-17,131,78,35,11,1074,1183,1224,1033,1279,978
2026-08-14,84,75,30,10,1124,1129,1261,992,1293,960
2026-08-13,116,70,33,7,1183,1071,1307,948,1312,943
2026-08-12,100,91,29,5,1176,1078,1319,936,1312,943
2026-08-11,103,70,30,3,1254,1000,1363,892,1355,900
2026-08-10,120,71,31,3,1323,930,1417,838,1365,890
2026-08-07,83,69,36,3,1372,881,1418,836,1369,885
2026-08-06,101,50,42,3,1441,812,1446,808,1357,897
2026-08-05,126,37,31,3,1461,793,1446,809,1363,892
2026-08-04,112,40,29,3,1341,913,1363,892,1329,927
2026-08-03,208,28,20,6,1385,869,1380,875,1333,923
2026-07-31,122,31,16,6,1066,1186,1210,1043,1245,1009
2026-07-30,38,62,12,7,925,1328,1145,1109,1214,1041
2026-07-29,108,39,11,4,1039,1214,1226,1028,1229,1026
2026-07-28,44,91,10,4,876,1376,1126,1127,1174,1080
2026-07-27,141,29,19,4,1076,1177,1234,1020,1221,1034
2026-07-24,70,32,16,4,759,1494,1092,1162,1198,1057
2026-07-23,61,48,14,4,783,1469,1074,1179,1177,1077
2026-07-22,45,71,14,1,952,1301,1221,1033,1210,1045
2026-07-21,98,21,12,2,1189,1065,1349,905,1281,974
2026-07-20,85,26,11,4,1150,1104,1349,905,1266,989
2026-07-17,30,61,9,3,1085,1169,1303,951,1250,1005
2026-07-16,59,34,14,2,1183,1069,1361,891,1257,996
