Date,Symbol,% change,Ltp
2026-09-16 15:29,NIFTYFMCG,1.6263,45559
2026-09-16 15:29,NIFTYPSUBANK,1.439,8275.9004
2026-09-16 15:29,CNXREALTY,0.9886,822.3
2026-09-16 15:29,BANKNIFTY,0.892,56292.4492
2026-09-16 15:29,NIFTYPVTBANK,0.7922,27284.25
2026-09-16 15:29,NIFTYMEDIA,0.7414,1515.05
2026-09-16 15:29,NIFTYFINSERVICE,0.7407,25262.4004
2026-09-16 15:29,NIFTYOILANDGAS,0.7044,10872.4502
2026-09-16 15:29,NIFTYCONSUMPTION,0.6989,11361.6504
2026-09-16 15:29,NIFTYMETAL,0.5521,12739.0996
2026-09-16 15:29,NIFTYAUTO,0.5122,26893.6504
2026-09-16 15:29,NIFTY,0.4282,23217.5996
2026-09-16 15:29,NIFTY100,0.3718,24282.9492
2026-09-16 15:29,NIFTYCOMMODITIES,0.3678,9442.1504
2026-09-16 15:29,NIFTY200,0.295,13481.9004
2026-09-16 15:29,NIFTY500,0.2427,22532
2026-09-16 15:29,NIFTYTOTALMKT,0.2246,12742.0498
2026-09-16 15:29,NIFTYLARGEMID250,0.2064,16120.6504
2026-09-16 15:29,NIFTYMIDSELECT,0.1549,14288.4502
2026-09-16 15:29,CNXENERGY,0.0954,37183.3984
2026-09-16 15:29,NIFTYMIDCAP150,0.0447,22368.8008
2026-09-16 15:29,NIFTYMIDCAP50,0.0214,17560.0996
2026-09-16 15:29,CNXINFRA,-0.023,8908.7002
2026-09-16 15:29,NIFTYMIDSMALLCAP400,-0.0279,20744.9004
2026-09-16 15:29,NIFTYCHEMICALS,-0.0329,28752.6992
2026-09-16 15:29,NIFTYMICROCAP250,-0.1412,25743.9004
2026-09-16 15:29,NIFTYHEALTHCARE,-0.1494,16274.6504
2026-09-16 15:29,NIFTYSMALLCAP50,-0.1606,9698.0996
2026-09-16 15:29,CNXPHARMA,-0.1611,26146.1992
2026-09-16 15:29,NIFTYINDDEFENCE,-0.1646,9129.0996
2026-09-16 15:29,NIFTYSMALLCAP250,-0.1649,17863.3008
2026-09-16 15:29,CNXSMALLCAP,-0.1758,19388.3008
2026-09-16 15:29,CNXIT,-1.5823,29087.6504
2026-09-16 15:29,INDIAVIX,-1.936,13.17
2026-09-16 15:29,NIFTYHOUSING,1.7e+308,11061.2002
