Date,Symbol,% from 30w ema
2026-09-16 15:29,NIFTYMICROCAP250,5.1557
2026-09-16 15:29,CNXPHARMA,4.8765
2026-09-16 15:29,NIFTYSMALLCAP50,4.673
2026-09-16 15:29,CNXSMALLCAP,3.473
2026-09-16 15:29,NIFTYHEALTHCARE,3.0577
2026-09-16 15:29,NIFTYSMALLCAP250,2.499
2026-09-16 15:29,NIFTYMETAL,1.5692
2026-09-16 15:29,NIFTYMEDIA,0.5008
2026-09-16 15:29,NIFTYMIDSMALLCAP400,0.42
2026-09-16 15:29,NIFTYINDDEFENCE,0.266
2026-09-16 15:29,NIFTYMIDCAP50,0.2345
2026-09-16 15:29,NIFTYMIDSELECT,0.15
2026-09-16 15:29,NIFTYHOUSING,0
2026-09-16 15:29,NIFTYPVTBANK,-0.4425
2026-09-16 15:29,NIFTYMIDCAP150,-0.6486
2026-09-16 15:29,BANKNIFTY,-0.9968
2026-09-16 15:29,NIFTYAUTO,-1.2801
2026-09-16 15:29,NIFTYTOTALMKT,-1.757
2026-09-16 15:29,NIFTYCHEMICALS,-1.8442
2026-09-16 15:29,NIFTYLARGEMID250,-1.8929
2026-09-16 15:29,NIFTYPSUBANK,-2.0652
2026-09-16 15:29,NIFTY500,-2.1214
2026-09-16 15:29,NIFTYCONSUMPTION,-2.4284
2026-09-16 15:29,CNXENERGY,-2.5784
2026-09-16 15:29,NIFTY200,-2.7301
2026-09-16 15:29,CNXREALTY,-3.2249
2026-09-16 15:29,NIFTY100,-3.2365
2026-09-16 15:29,NIFTYCOMMODITIES,-3.2419
2026-09-16 15:29,NIFTYOILANDGAS,-3.3194
2026-09-16 15:29,NIFTYFINSERVICE,-3.4963
2026-09-16 15:29,NIFTY,-3.7416
2026-09-16 15:29,CNXINFRA,-3.902
2026-09-16 15:29,INDIAVIX,-4.3315
2026-09-16 15:29,CNXIT,-4.6609
2026-09-16 15:29,NIFTYFMCG,-7.0124
