Date,Sector,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-10 15:29,energy,66.6667,66.6667,64.1026,64.1026,64.1026
2026-09-10 15:29,aerospace & defence,64.7059,67.6471,67.6471,67.6471,73.5294
2026-09-10 15:29,healthcare,59.8765,70.9877,73.4568,72.8395,72.2222
2026-09-10 15:29,industrials,47.3913,60,60.4348,59.5652,59.1304
2026-09-10 15:29,metals & mining,45.7364,54.2636,55.814,55.0388,57.3643
2026-09-10 15:29,telecom-service,45.4545,36.3636,36.3636,27.2727,27.2727
2026-09-10 15:29,plastic products,41.9355,38.7097,35.4839,35.4839,32.2581
2026-09-10 15:29,building materials,41.6667,38.5417,35.4167,35.4167,33.3333
2026-09-10 15:29,chemicals,41.5094,58.4906,55.9748,54.717,52.2013
2026-09-10 15:29,transportation,40.3846,46.1538,48.0769,50,48.0769
2026-09-10 15:29,textiles,40.3101,42.6357,43.4109,43.4109,40.3101
2026-09-10 15:29,co-working,40,60,60,60,60
2026-09-10 15:29,consumer discretionary,36.3636,48.0519,48.0519,48.0519,49.3506
2026-09-10 15:29,auto,35.9223,52.4272,56.3107,55.3398,58.2524
2026-09-10 15:29,services,33.0508,35.5932,36.4407,35.5932,33.8983
2026-09-10 15:29,n/a,32.5472,36.7925,37.2642,37.2642,37.7358
2026-09-10 15:29,power & utilities,31.25,15.625,18.75,21.875,25
2026-09-10 15:29,financials,30.2752,45.4128,45.4128,43.578,43.1193
2026-09-10 15:29,miscellaneous,30.1205,34.9398,37.3494,38.5542,37.3494
2026-09-10 15:29,fmcg,29.2208,45.4545,48.0519,46.1039,44.1558
2026-09-10 15:29,realty,27.2727,31.016,28.877,29.9465,28.877
2026-09-10 15:29,bank,26.8293,48.7805,60.9756,58.5366,63.4146
2026-09-10 15:29,i.t,26.4045,36.5169,35.3933,33.1461,33.7079
2026-09-10 15:29,telecom,20,50,50,50,50
2026-09-10 15:29,indices,19.5755,50.4717,54.0094,58.4906,64.6226
2026-09-10 15:29,media,16.6667,25,25,25,22.9167
