Date,Symbol,Market cap,Category,Sector,Industry,% change,Volume
2026-09-10 15:29,KAVDEFENCE,379.9252,smallcap,aerospace & defence,telecommunications - equipment,18.3257,2362626
2026-09-10 15:29,PKTEA,351.7847,smallcap,fmcg,tea,-3.705,10161
2026-09-10 15:29,PODDARMENT,313.8968,smallcap,chemicals,dyes and pigments,1.1999,122057
2026-09-10 15:29,CHEMBOND,296.3465,smallcap,chemicals,chemicals,2.4778,47695
2026-09-10 15:29,EQUIPPP,245.6759,smallcap,i.t,computers - software - medium / small,-1.3848,4737
2026-09-10 15:29,RVTH,241.4604,smallcap,industrials,engineering,-3.15,1557
2026-09-10 15:29,ARVEE,231.7396,smallcap,chemicals,chemicals,-7.152,18321
2026-09-10 15:29,JMA,221.878,smallcap,auto,auto ancillaries,-1.678,16704
2026-09-10 15:29,BAIDFIN,194.9969,smallcap,financials,finance & investments,-2.4106,173715
2026-09-10 15:29,BALPHARMA,182.2144,smallcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,-7.1996,690310
2026-09-10 15:29,TEXMOPIPES,168.134,smallcap,plastic products,plastics products,-1.9969,789095
2026-09-10 15:29,AARTECH,166.7945,smallcap,industrials,electric equipment,-0.819,43423
2026-09-10 15:29,JOCIL,135.251,smallcap,chemicals,chemicals,-1.5891,5247
2026-09-10 15:29,STEELCITY,127.0053,smallcap,financials,finance & investments,8.7189,183418
2026-09-10 15:29,OSWALSEEDS,119.6428,smallcap,fmcg,miscellaneous,12.7676,1573719
2026-09-10 15:29,VAISHALI,109.89,smallcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,5.2825,204884
2026-09-10 15:29,DIGJAMLMTD,103.08,smallcap,textiles,textiles - products,19.9845,732362
2026-09-10 15:29,ANMOL,77.574,smallcap,services,trading,12.5459,1844371
2026-09-10 15:29,KSR,72.0249,smallcap,consumer discretionary,leather / leather products,4.4399,116736
2026-09-10 15:29,SHEKHAWATI,60.5983,smallcap,textiles,textiles - processing,4.9488,43113
2026-09-10 15:29,MALUPAPER,59.3832,smallcap,building materials,paper,-1.2066,53157
2026-09-10 15:29,SUPERSPIN,38.555,smallcap,miscellaneous,miscellaneous,4.9929,53322
2026-09-10 15:29,TGBHOTELS,28.7592,smallcap,services,hotels,0.4073,7344
2026-09-10 15:29,WINSOME,17.7475,smallcap,textiles,textiles - cotton/blended,1.6194,2813440
2026-09-10 15:29,SETUINFRA,8.0434,smallcap,realty,construction,4.6875,25778
