Date,Symbol,% from 30w ema
2026-09-10 15:29,NIFTYMICROCAP250,9.1441
2026-09-10 15:29,NIFTYSMALLCAP50,8.3001
2026-09-10 15:29,NIFTYINDDEFENCE,7.5523
2026-09-10 15:29,CNXSMALLCAP,7.0685
2026-09-10 15:29,CNXPHARMA,6.8726
2026-09-10 15:29,NIFTYMETAL,6.0286
2026-09-10 15:29,NIFTYSMALLCAP250,5.9161
2026-09-10 15:29,NIFTYHEALTHCARE,4.8125
2026-09-10 15:29,NIFTYMIDSMALLCAP400,3.1076
2026-09-10 15:29,NIFTYCHEMICALS,2.5157
2026-09-10 15:29,NIFTYMIDCAP50,2.3554
2026-09-10 15:29,CNXREALTY,2.22
2026-09-10 15:29,NIFTYMIDSELECT,1.8677
2026-09-10 15:29,NIFTYMEDIA,1.8565
2026-09-10 15:29,NIFTYMIDCAP150,1.6677
2026-09-10 15:29,NIFTYAUTO,0.9503
2026-09-10 15:29,NIFTYTOTALMKT,0.002
2026-09-10 15:29,NIFTYHOUSING,0
2026-09-10 15:29,CNXENERGY,-0.0799
2026-09-10 15:29,NIFTYLARGEMID250,-0.1374
2026-09-10 15:29,NIFTYPVTBANK,-0.3634
2026-09-10 15:29,NIFTY500,-0.465
2026-09-10 15:29,BANKNIFTY,-0.7342
2026-09-10 15:29,NIFTYPSUBANK,-0.7555
2026-09-10 15:29,NIFTYCOMMODITIES,-0.8052
2026-09-10 15:29,NIFTYCONSUMPTION,-1.3085
2026-09-10 15:29,NIFTY200,-1.3086
2026-09-10 15:29,CNXINFRA,-1.7805
2026-09-10 15:29,NIFTY100,-2.0445
2026-09-10 15:29,NIFTYOILANDGAS,-2.1953
2026-09-10 15:29,NIFTYFINSERVICE,-2.7396
2026-09-10 15:29,NIFTY,-2.934
2026-09-10 15:29,CNXIT,-5.6032
2026-09-10 15:29,NIFTYFMCG,-8.2343
2026-09-10 15:29,INDIAVIX,-14.3425
