Date,Symbol,% change,Ltp
2026-09-25 15:29,CNXREALTY,0.9229,869.35
2026-09-25 15:29,NIFTYAUTO,0.8896,26967.9004
2026-09-25 15:29,NIFTYFINSERVICE,0.5638,25094.8496
2026-09-25 15:29,NIFTYCONSUMPTION,0.5457,11415.4004
2026-09-25 15:29,NIFTYPVTBANK,0.4456,26883.1992
2026-09-25 15:29,NIFTYSMALLCAP50,0.4446,9883.4502
2026-09-25 15:29,NIFTYINDDEFENCE,0.4267,9401.6504
2026-09-25 15:29,NIFTYFMCG,0.3976,45941.3008
2026-09-25 15:29,NIFTY100,0.3772,24307.5508
2026-09-25 15:29,NIFTYMETAL,0.3466,13087.1504
2026-09-25 15:29,NIFTY,0.3356,23140.5
2026-09-25 15:29,NIFTYMICROCAP250,0.2898,26472.8496
2026-09-25 15:29,NIFTYPSUBANK,0.2823,8294.5
2026-09-25 15:29,NIFTY200,0.2723,13494.2002
2026-09-25 15:29,NIFTYCOMMODITIES,0.2643,9540.75
2026-09-25 15:29,BANKNIFTY,0.256,55580.3984
2026-09-25 15:29,NIFTYCHEMICALS,0.2328,29146.1504
2026-09-25 15:29,NIFTYTOTALMKT,0.2287,12797.25
2026-09-25 15:29,NIFTY500,0.2257,22603.5
2026-09-25 15:29,CNXENERGY,0.2125,37440.3516
2026-09-25 15:29,CNXSMALLCAP,0.1549,19715.25
2026-09-25 15:29,CNXINFRA,0.1409,8957.4502
2026-09-25 15:29,NIFTYLARGEMID250,0.1116,16153.5498
2026-09-25 15:29,NIFTYSMALLCAP250,0.0187,18158.9004
2026-09-25 15:29,NIFTYOILANDGAS,-0.0708,10862.1504
2026-09-25 15:29,NIFTYMIDSMALLCAP400,-0.0889,20904.9492
2026-09-25 15:29,NIFTYMIDSELECT,-0.0897,14027.7002
2026-09-25 15:29,CNXPHARMA,-0.0951,27003
2026-09-25 15:29,NIFTYMIDCAP150,-0.1464,22437
2026-09-25 15:29,CNXIT,-0.17,28160.9004
2026-09-25 15:29,NIFTYMEDIA,-0.2316,1550.65
2026-09-25 15:29,NIFTYMIDCAP50,-0.2509,17474.0996
2026-09-25 15:29,NIFTYHEALTHCARE,-0.4693,16678.5508
2026-09-25 15:29,INDIAVIX,-4.1765,12.16
2026-09-25 15:29,NIFTYHOUSING,1.7e+308,11061.2002
