Date,Symbol,Close,Yearhigh,Market cap,Market cap category,Industry,Sector,Weekly return,Current vol multiple of yearly avg
2026-09-25 15:29,ARTEMISMED,357.7,357.7,5266.8488,midcap,healthcare,healthcare,5.6721,59.7648
2026-09-25 15:29,UGARSUGAR,64.03,64.03,627.4125,smallcap,sugar,fmcg,12.7487,36.4271
2026-09-25 15:29,SHANTIGOLD,325.68,325.68,2176.4849,smallcap,diamond cutting / jewellery,consumer discretionary,29.6136,26.7073
2026-09-25 15:29,LAMBODHARA,144.57,144.57,144.726,smallcap,textiles - cotton/blended,textiles,20.2645,16.6001
2026-09-25 15:29,CUBEXTUB,152.24,152.24,198.1746,smallcap,mining / minerals / metals,metals & mining,78.4341,13.0846
2026-09-25 15:29,ANTELOPUS,1261.7,1261.7,3976.6869,smallcap,oil drilling / allied services,energy,14.1965,12.6002
2026-09-25 15:29,AHCL,31.51,31.51,1522.7905,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,37.5983,10.6344
2026-09-25 15:29,STEELCAS,376.5,376.5,3620.936,smallcap,castings & forgings,"castings, forgings & fasteners",17.693,7.8899
2026-09-25 15:29,ABDL,715.05,715.05,19919.5584,midcap,breweries & distilleries,fmcg,10.4154,7.774
2026-09-25 15:29,PRIMO,25.28,26.11,540.183,smallcap,chlor alkali / soda ash,chemicals,18.4075,7.3121
2026-09-25 15:29,LLOYDSENGG,98.56,98.56,14100.4947,midcap,engineering,industrials,19.5681,7.1193
2026-09-25 15:29,MVGJL,224.38,224.38,1049.243,smallcap,diamond cutting / jewellery,consumer discretionary,4.6207,6.8042
2026-09-25 15:29,VETO,150.32,150.32,273.4203,smallcap,electric equipment,industrials,8.0273,6.2746
2026-09-25 15:29,MUKANDLTD,167.05,167.05,2243.4381,smallcap,steel - medium / small,metals & mining,23.9427,5.9294
2026-09-25 15:29,ALMONDZ,21.38,21.38,379.7595,smallcap,finance & investments,financials,15.4428,5.4845
2026-09-25 15:29,AETHER,1767,1767,21847.1443,largecap,chemicals,chemicals,8.4049,4.9504
2026-09-25 15:29,RPGLIFE,3050.6001,3050.6001,4796.149,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,8.8567,4.529
2026-09-25 15:29,BHAGERIA,394.6,394.6,1569.6629,smallcap,dyes and pigments,chemicals,17.879,4.2899
2026-09-25 15:29,SUBEXLTD,21.41,22.08,1163.9081,smallcap,computers - software - medium / small,i.t,6.4644,4.2624
2026-09-25 15:29,GNFC,630.3,630.3,9185.2621,midcap,chemicals,chemicals,7.03,3.9779
2026-09-25 15:29,ENGINERSIN,315.65,315.65,16672.987,midcap,engineering - turnkey services,realty,18.5095,3.8687
2026-09-25 15:29,KABRAEXTRU,846.4,846.4,2819.1603,smallcap,engineering,industrials,24.1784,3.7227
2026-09-25 15:29,ONEPOINT,69.6,69.6,1822.4148,smallcap,computers - software - medium / small,i.t,16.7002,3.5053
2026-09-25 15:29,FCL,60.48,60.48,6529.3565,midcap,chemicals,chemicals,6.068,3.4506
2026-09-25 15:29,SALSTEEL,93.6,93.6,1292.3323,smallcap,steel - sponge iron,metals & mining,13.7856,3.4471
