Date,Symbol,% from 30w ema
2026-09-18 15:29,NIFTYMICROCAP250,7.5763
2026-09-18 15:29,NIFTYSMALLCAP50,7.2704
2026-09-18 15:29,CNXPHARMA,6.9823
2026-09-18 15:29,CNXSMALLCAP,5.8964
2026-09-18 15:29,NIFTYHEALTHCARE,5.0604
2026-09-18 15:29,NIFTYSMALLCAP250,4.768
2026-09-18 15:29,NIFTYMETAL,3.9012
2026-09-18 15:29,NIFTYMEDIA,2.8975
2026-09-18 15:29,NIFTYMIDSMALLCAP400,2.6518
2026-09-18 15:29,NIFTYINDDEFENCE,2.5491
2026-09-18 15:29,NIFTYMIDCAP50,1.9558
2026-09-18 15:29,NIFTYMIDCAP150,1.5638
2026-09-18 15:29,NIFTYMIDSELECT,1.5406
2026-09-18 15:29,NIFTYHOUSING,0
2026-09-18 15:29,NIFTYCHEMICALS,-0.0764
2026-09-18 15:29,NIFTYLARGEMID250,-0.3841
2026-09-18 15:29,NIFTYPVTBANK,-0.4228
2026-09-18 15:29,NIFTYTOTALMKT,-0.4511
2026-09-18 15:29,NIFTYAUTO,-0.4717
2026-09-18 15:29,CNXREALTY,-0.8124
2026-09-18 15:29,NIFTY500,-0.8668
2026-09-18 15:29,BANKNIFTY,-0.8878
2026-09-18 15:29,CNXENERGY,-1.1308
2026-09-18 15:29,NIFTYPSUBANK,-1.6037
2026-09-18 15:29,NIFTYCONSUMPTION,-1.6318
2026-09-18 15:29,NIFTY200,-1.6854
2026-09-18 15:29,NIFTYCOMMODITIES,-2.0477
2026-09-18 15:29,CNXINFRA,-2.2587
2026-09-18 15:29,NIFTY100,-2.4307
2026-09-18 15:29,NIFTYFINSERVICE,-2.6098
2026-09-18 15:29,NIFTYOILANDGAS,-2.6839
2026-09-18 15:29,NIFTY,-3.241
2026-09-18 15:29,CNXIT,-5.3783
2026-09-18 15:29,NIFTYFMCG,-7.1893
2026-09-18 15:29,INDIAVIX,-16.5656
