date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2026-06-12,midcap,2.4831,
2026-06-12,smallcap,1.2762,
2026-06-15,largecap,5.4348,64.1304
2026-06-15,midcap,5.6054,62.7803
2026-06-15,smallcap,2.4328,47.8966
2026-06-16,largecap,5.163,
2026-06-16,midcap,3.3632,
2026-06-16,smallcap,1.5824,
2026-06-17,largecap,4.6196,
2026-06-17,midcap,3.8117,
2026-06-17,smallcap,1.8396,
2026-06-18,largecap,7.337,
2026-06-18,midcap,6.0538,
2026-06-18,smallcap,2.9622,
2026-06-19,largecap,7.8804,
2026-06-19,midcap,4.7085,
2026-06-19,smallcap,2.5523,
2026-06-22,largecap,8.9674,63.587
2026-06-22,midcap,4.9327,63.0045
2026-06-22,smallcap,3.6364,46.8687
2026-06-23,largecap,7.337,
2026-06-23,midcap,4.7085,
2026-06-23,smallcap,2.8645,
2026-06-24,largecap,5.4348,
2026-06-24,midcap,3.139,
2026-06-24,smallcap,1.8897,
2026-06-25,largecap,5.9783,
2026-06-25,midcap,2.4664,
2026-06-25,smallcap,1.9398,
2026-06-29,largecap,7.337,66.5761
2026-06-29,midcap,2.2422,66.3677
2026-06-29,smallcap,2.2727,51.5657
2026-06-30,largecap,7.0652,
2026-06-30,midcap,5.6054,
2026-06-30,smallcap,2.4987,
2026-07-01,largecap,8.1522,
2026-07-01,midcap,3.5874,
2026-07-01,smallcap,2.6436,
2026-07-02,largecap,5.163,
2026-07-02,midcap,3.8117,
2026-07-02,smallcap,3.0503,
2026-07-03,largecap,10.0543,
2026-07-03,midcap,4.2601,
2026-07-03,smallcap,3.2961,
2026-07-06,largecap,10.0543,64.4022
2026-07-06,midcap,3.8117,65.6951
2026-07-06,smallcap,3.4639,49.0964
2026-07-07,largecap,6.25,
2026-07-07,midcap,2.2422,
2026-07-07,smallcap,2.6876,
2026-07-08,largecap,3.8043,
2026-07-08,midcap,3.5874,
2026-07-08,smallcap,1.1669,
2026-07-09,largecap,3.5326,
2026-07-09,midcap,3.3632,
2026-07-09,smallcap,1.3171,
2026-07-10,largecap,5.7065,
2026-07-10,midcap,4.2601,
2026-07-10,smallcap,2.4341,
2026-07-13,largecap,5.4348,62.7717
2026-07-13,midcap,4.7085,64.574
2026-07-13,smallcap,2.7122,47.4134
2026-07-14,largecap,3.8043,
2026-07-14,midcap,2.4664,
2026-07-14,smallcap,1.8228,
2026-07-15,largecap,4.0761,
2026-07-15,midcap,3.3557,
2026-07-15,smallcap,2.0728,
2026-07-16,largecap,4.6196,
2026-07-16,midcap,3.132,
2026-07-16,smallcap,1.4632,
2026-07-17,largecap,2.1739,
2026-07-17,midcap,0.6711,
2026-07-17,smallcap,0.6576,
2026-07-20,largecap,4.0761,59.2391
2026-07-20,midcap,2.0134,59.5078
2026-07-20,smallcap,1.3575,45.7516
2026-07-21,largecap,5.4201,
2026-07-21,midcap,2.0134,
2026-07-21,smallcap,1.6153,
2026-07-22,largecap,4.336,
2026-07-22,midcap,2.0134,
2026-07-22,smallcap,1.3629,
2026-07-23,largecap,1.897,
2026-07-23,midcap,1.3423,
2026-07-23,smallcap,1.1122,
2026-07-24,largecap,1.355,
2026-07-24,midcap,1.3423,
2026-07-24,smallcap,1.2594,
2026-07-27,largecap,4.336,65.3117
2026-07-27,midcap,3.132,61.5213
2026-07-27,smallcap,1.9481,49.2008
2026-07-28,largecap,5.1491,
2026-07-28,midcap,1.7897,
2026-07-28,smallcap,1.3078,
2026-07-29,largecap,5.4201,
2026-07-29,midcap,2.2371,
2026-07-29,smallcap,1.4602,
2026-07-30,largecap,6.7568,
2026-07-30,midcap,2.6786,
2026-07-30,smallcap,1.4588,
2026-07-31,largecap,5.4054,
2026-07-31,midcap,3.125,
2026-07-31,smallcap,1.9095,
2026-08-03,largecap,7.2973,68.9189
2026-08-03,midcap,5.3571,64.9554
2026-08-03,smallcap,3.7276,55.0199
2026-08-04,largecap,5.4054,
2026-08-04,midcap,5.3571,
2026-08-04,smallcap,3.5553,
2026-08-05,largecap,7.0081,
2026-08-05,midcap,4.9107,
2026-08-05,smallcap,3.998,
2026-08-06,largecap,7.5472,
2026-08-06,midcap,5.5679,
2026-08-06,smallcap,3.4983,
2026-08-07,largecap,5.6604,
2026-08-07,midcap,4.6771,
2026-08-07,smallcap,3.0454,
2026-08-10,largecap,7.8167,65.2291
2026-08-10,midcap,6.2361,62.5835
2026-08-10,smallcap,4.5072,51.4116
2026-08-11,largecap,5.9299,
2026-08-11,midcap,5.3452,
2026-08-11,smallcap,3.0907,
2026-08-12,largecap,5.6604,
2026-08-12,midcap,5.1225,
2026-08-12,smallcap,2.495,
2026-08-13,largecap,5.1213,
2026-08-13,midcap,4.4543,
2026-08-13,smallcap,2.988,
2026-08-14,largecap,3.7634,
2026-08-14,midcap,4.8998,
2026-08-14,smallcap,2.5411,
2026-08-17,largecap,2.681,64.6113
2026-08-17,midcap,4.6667,64
2026-08-17,smallcap,2.6614,50.6161
2026-08-18,largecap,5.0802,
2026-08-18,midcap,5.1111,
2026-08-18,smallcap,2.3234,
2026-08-19,largecap,2.9412,
2026-08-19,midcap,3.7694,
2026-08-19,smallcap,2.0494,
2026-08-20,largecap,2.4064,
2026-08-20,midcap,4.6563,
2026-08-20,smallcap,2.4186,
2026-08-21,largecap,3.2086,
2026-08-21,midcap,3.1042,
2026-08-21,smallcap,2.18,
2026-08-24,largecap,3.7433,64.9733
2026-08-24,midcap,3.532,62.9139
2026-08-24,smallcap,2.9006,51.1971
2026-08-25,largecap,2.4064,
2026-08-25,midcap,3.532,
2026-08-25,smallcap,1.9017,
2026-08-26,largecap,3.2086,
2026-08-26,midcap,4.415,
2026-08-26,smallcap,2.5463,
2026-08-27,largecap,3.7433,
2026-08-27,midcap,3.7528,
2026-08-27,smallcap,2.3202,
2026-08-28,largecap,5.615,
2026-08-28,midcap,3.9735,
2026-08-28,smallcap,2.1739,
2026-08-31,largecap,4.5455,59.893
2026-08-31,midcap,5.2863,60.3524
2026-08-31,smallcap,2.7102,48.9205
2026-09-01,largecap,2.9412,
2026-09-01,midcap,4.1758,
2026-09-01,smallcap,2.3535,
2026-09-02,largecap,1.8717,
2026-09-02,midcap,2.1978,
2026-09-02,smallcap,2.0756,
2026-09-03,largecap,2.6738,
2026-09-03,midcap,4.1758,
2026-09-03,smallcap,2.5346,
2026-09-04,largecap,2.9412,
2026-09-04,midcap,5.7018,
2026-09-04,smallcap,2.6255,
2026-09-07,largecap,3.4759,54.8128
2026-09-07,midcap,5.9211,60.307
2026-09-07,smallcap,3.3394,44.8765
2026-09-08,largecap,3.4759,
2026-09-08,midcap,5.4825,
2026-09-08,smallcap,2.9425,
2026-09-09,largecap,4.5455,
2026-09-09,midcap,4.6053,
2026-09-09,smallcap,2.485,
2026-09-10,largecap,1.8717,
2026-09-10,midcap,4.8246,
2026-09-10,smallcap,1.7981,
2026-09-11,largecap,1.8717,
2026-09-11,midcap,2.6316,
2026-09-11,smallcap,1.2897,
2026-09-15,largecap,1.6043,56.1497
2026-09-15,midcap,3.0702,58.5526
2026-09-15,smallcap,1.6918,41.2088
2026-09-16,largecap,0.8021,
2026-09-16,midcap,0.8772,
2026-09-16,smallcap,0.8764,
2026-09-17,largecap,0.5348,
2026-09-17,midcap,1.7544,
2026-09-17,smallcap,1.2939,
2026-09-18,largecap,3.7433,
2026-09-18,midcap,3.5088,
2026-09-18,smallcap,1.8903,
2026-09-21,largecap,2.9412,55.3476
2026-09-21,midcap,4.386,57.0175
2026-09-21,smallcap,2.4951,41.3607
