date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2023-01-02,midcap,,52.5526
2023-01-02,smallcap,,52.9052
2023-01-09,largecap,,60.8833
2023-01-09,midcap,,51.497
2023-01-09,smallcap,,52.9862
2023-01-16,largecap,,60.5678
2023-01-16,midcap,,48.2036
2023-01-16,smallcap,,51.1468
2023-01-23,largecap,,52.6814
2023-01-23,midcap,,41.018
2023-01-23,smallcap,,39.8014
2023-01-30,largecap,,51.1041
2023-01-30,midcap,,40.2985
2023-01-30,smallcap,,37.156
2023-02-06,largecap,,56.4669
2023-02-06,midcap,,47.7612
2023-02-06,smallcap,,39.771
2023-02-13,largecap,,54.2587
2023-02-13,midcap,,45.9701
2023-02-13,smallcap,,35.5454
2023-02-20,largecap,,48.265
2023-02-20,midcap,,37.7976
2023-02-20,smallcap,,26.6768
2023-02-27,largecap,,53.6278
2023-02-27,midcap,,40.4762
2023-02-27,smallcap,,30.5471
2023-03-06,largecap,,51.4196
2023-03-06,midcap,,44.3452
2023-03-06,smallcap,,28.3119
2023-03-13,largecap,,43.5331
2023-03-13,midcap,,36.9048
2023-03-13,smallcap,,22.6172
2023-03-20,largecap,,39.1167
2023-03-20,midcap,,33.9286
2023-03-20,smallcap,,20.6505
2023-03-27,largecap,,45.4259
2023-03-27,midcap,,38.0952
2023-03-27,smallcap,,21.542
2023-04-03,largecap,,52.3659
2023-04-03,midcap,,41.0714
2023-04-03,smallcap,,33.6357
2023-04-10,largecap,,59.6215
2023-04-10,midcap,,45.5357
2023-04-10,smallcap,,39.752
2023-04-17,largecap,,59.306
2023-04-17,midcap,,46.7262
2023-04-17,smallcap,,41.8129
2023-04-24,largecap,,66.2461
2023-04-24,midcap,,54.5994
2023-04-24,smallcap,,46.4259
2023-05-02,largecap,,67.8233
2023-05-02,midcap,,59.3472
2023-05-02,smallcap,,49.9625
2023-05-08,largecap,,72.8707
2023-05-08,midcap,,62.6113
2023-05-08,smallcap,,52.5526
2023-05-15,largecap,,71.0692
2023-05-15,midcap,,63.7982
2023-05-15,smallcap,,51.1958
2023-05-22,largecap,,78.6164
2023-05-22,midcap,,65.5786
2023-05-22,smallcap,,52.1642
2023-05-29,largecap,,81.4465
2023-05-29,midcap,,73.8872
2023-05-29,smallcap,,56.962
2023-06-05,largecap,,81.761
2023-06-05,midcap,,74.7774
2023-06-05,smallcap,,61.2519
2023-06-12,largecap,,86.8339
2023-06-12,midcap,,78.0415
2023-06-12,smallcap,,66.3697
2023-06-19,largecap,,82.4451
2023-06-19,midcap,,77.4481
2023-06-19,smallcap,,62.4077
2023-06-26,largecap,,87.1473
2023-06-26,midcap,,79.5252
2023-06-26,smallcap,,64.6233
2023-07-03,largecap,,86.2069
2023-07-03,midcap,,82.1958
2023-07-03,smallcap,,67.4761
2023-07-10,largecap,,88.0878
2023-07-10,midcap,,82.8402
2023-07-10,smallcap,,65.6573
2023-07-17,largecap,,89.0625
2023-07-17,midcap,,83.7278
2023-07-17,smallcap,,67.5201
2023-07-24,largecap,,91.25
2023-07-24,midcap,,86.6864
2023-07-24,smallcap,,67.1795
2023-07-31,largecap,,91.5888
2023-07-31,midcap,,88.1657
2023-07-31,smallcap,,69.2251
2023-08-07,largecap,,91.2773
2023-08-07,midcap,,86.7257
2023-08-07,smallcap,,69.2701
2023-08-14,largecap,,85.9813
2023-08-14,midcap,,85
2023-08-14,smallcap,,67.4198
2023-08-21,largecap,,88.4735
2023-08-21,midcap,,87.7193
2023-08-21,smallcap,,71.4702
2023-08-28,largecap,,91.3043
2023-08-28,midcap,,90.6706
2023-08-28,smallcap,,77.2529
2023-09-04,largecap,,94.4099
2023-09-04,midcap,,93.8953
2023-09-04,smallcap,,81.2726
2023-09-11,largecap,,93.1677
2023-09-11,midcap,,93.913
2023-09-11,smallcap,,79.9133
2023-09-18,largecap,,89.7833
2023-09-18,midcap,,90.1449
2023-09-18,smallcap,,77.2727
2023-09-25,largecap,,88.5802
2023-09-25,midcap,,89.5652
2023-09-25,smallcap,,76.9452
2023-10-03,largecap,,88.9571
2023-10-03,midcap,,91.0405
2023-10-03,smallcap,,77.3869
2023-10-09,largecap,,88.3436
2023-10-09,midcap,,91.3295
2023-10-09,smallcap,,79.0415
2023-10-16,largecap,,84.0491
2023-10-16,midcap,,88.1503
2023-10-16,smallcap,,79
2023-10-23,largecap,,75.1534
2023-10-23,midcap,,77.7457
2023-10-23,smallcap,,67.7143
2023-10-30,largecap,,78.1538
2023-10-30,midcap,,81.0496
2023-10-30,smallcap,,72.8704
2023-11-06,largecap,,83.0769
2023-11-06,midcap,,83.7681
2023-11-06,smallcap,,74.3205
2023-11-13,largecap,,85.2308
2023-11-13,midcap,,84.6821
2023-11-13,smallcap,,76.3701
2023-11-20,largecap,,84.6154
2023-11-20,midcap,,86.7435
2023-11-20,smallcap,,78.2206
2023-11-28,largecap,,88.6154
2023-11-28,midcap,,88.7608
2023-11-28,smallcap,,79.7865
2023-12-04,largecap,,92.0489
2023-12-04,midcap,,89.6552
2023-12-04,smallcap,,80.7801
2023-12-11,largecap,,93.578
2023-12-11,midcap,,90.8046
2023-12-11,smallcap,,83.2386
2023-12-18,largecap,,91.7431
2023-12-18,midcap,,87.931
2023-12-18,smallcap,,83.0256
2023-12-26,largecap,,94.8012
2023-12-26,midcap,,90.3134
2023-12-26,smallcap,,84.2514
2024-01-01,largecap,,95.4268
2024-01-01,midcap,,89.2351
2024-01-01,smallcap,,88.1773
2024-01-08,largecap,,93.2927
2024-01-08,midcap,,88.9518
2024-01-08,smallcap,,89.2405
2024-01-15,largecap,,90.5488
2024-01-15,midcap,,86.9688
2024-01-15,smallcap,,86.831
2024-01-23,largecap,,85.4103
2024-01-23,midcap,,86.9688
2024-01-23,smallcap,,83.9298
2024-01-29,largecap,,87.538
2024-01-29,midcap,,87.2521
2024-01-29,smallcap,,86.2649
2024-02-05,largecap,,83.8906
2024-02-05,midcap,,82.7195
2024-02-05,smallcap,,83.6706
2024-02-12,largecap,,86.0182
2024-02-12,midcap,,82.153
2024-02-12,smallcap,,80.9623
2024-02-19,largecap,,86.0606
2024-02-19,midcap,,82.5843
2024-02-19,smallcap,,81.856
2024-02-26,largecap,,85.7576
2024-02-26,midcap,,79.2135
2024-02-26,smallcap,,78.4083
2024-03-04,largecap,,82.1212
2024-03-04,midcap,,74.7191
2024-03-04,smallcap,,71.7046
2024-03-11,largecap,,76.0606
2024-03-11,midcap,,58.7079
2024-03-11,smallcap,,50.8953
2024-03-18,largecap,,79.0909
2024-03-18,midcap,,63.764
2024-03-18,smallcap,,54.5079
2024-03-26,largecap,,81.5152
2024-03-26,midcap,,63.764
2024-03-26,smallcap,,50.7177
2024-04-01,largecap,,85.7576
2024-04-01,midcap,,80.618
