date,time,new 52-wk high,new 52-wk low
2026-09-04,15:29,3.0911,1.2496
2026-09-07,15:29,3.6525,1.7111
2026-09-08,15:29,3.3235,1.4149
2026-09-09,15:29,2.9924,2.269
2026-09-10,15:29,2.2047,2.435
2026-09-11,15:29,1.4989,3.6168
2026-09-15,15:29,1.8886,3.6796
2026-09-16,15:29,0.8792,4.2983
