date,time,%
2026-01-29,00:00,34.661
2026-01-30,00:00,43.0651
2026-02-01,00:00,28.2875
2026-02-02,00:00,28.419
2026-02-03,00:00,68.566
2026-02-04,00:00,76.4054
2026-02-05,00:00,64.3951
2026-02-06,00:00,60.4669
2026-02-09,00:00,77.6466
2026-02-10,00:00,80.1533
2026-02-11,00:00,73.7084
2026-02-12,00:00,61.4089
2026-02-13,00:00,37.9931
2026-02-16,00:00,37.3764
2026-02-17,00:00,46.5418
2026-02-18,00:00,50.6682
2026-02-19,00:00,30.0267
2026-02-20,00:00,34.0961
2026-02-23,00:00,36.9499
2026-02-24,00:00,28.5223
2026-02-25,00:00,33.9687
2026-02-26,00:00,38.7195
2026-02-27,00:00,29.4701
2026-03-02,00:00,16.0302
2026-03-04,00:00,10.8324
2026-03-05,00:00,17.7879
2026-03-06,00:00,17.2427
2026-03-09,00:00,10.822
2026-03-10,00:00,24.1838
2026-03-11,00:00,25.2372
2026-03-12,00:00,25.0474
2026-03-13,00:00,11.149
2026-03-16,00:00,9.6009
2026-03-17,00:00,14.5296
2026-03-18,00:00,36.1016
2026-03-19,00:00,15.3904
2026-03-20,00:00,22.1548
2026-03-23,00:00,6.9951
2026-03-24,00:00,16.4015
2026-03-25,00:00,38.7353
2026-03-27,00:00,15.9924
2026-03-30,00:00,9.8311
2026-04-01,00:00,42.1828
2026-04-02,00:00,51.3004
2026-04-06,00:00,73.6054
2026-04-07,00:00,76.1295
2026-04-08,00:00,94.1221
2026-04-09,00:00,92.4699
2026-04-10,00:00,95.3997
2026-04-13,00:00,90.9839
2026-04-15,00:00,96.2307
2026-04-16,00:00,95.5128
2026-04-17,00:00,96.5296
2026-04-20,00:00,91.5084
2026-04-21,00:00,87.9041
2026-04-22,00:00,88.0131
2026-04-23,00:00,79.1939
2026-04-24,00:00,57.9578
2026-04-27,00:00,75.5139
2026-04-28,00:00,67.7806
2026-04-29,00:00,66.7515
2026-04-30,00:00,54.562
2026-05-04,00:00,64.3629
2026-05-05,00:00,59.0926
2026-05-06,00:00,77.2777
2026-05-07,00:00,82.1908
2026-05-08,00:00,74.9184
2026-05-11,00:00,49.8921
2026-05-12,00:00,23.3672
2026-05-13,00:00,29.7533
2026-05-14,00:00,33.0192
2026-05-15,00:00,28.7477
2026-05-18,00:00,21.2613
2026-05-19,00:00,31.4835
2026-05-20,00:00,35.4371
2026-05-21,00:00,44.3355
2026-05-22,00:00,48.4772
2026-05-25,00:00,63.0255
2026-05-26,00:00,60.9403
2026-05-27,00:00,61.0568
2026-05-29,00:00,43.472
2026-06-01,00:00,31.4768
2026-06-02,00:00,38.8528
2026-06-03,00:00,36.1502
2026-06-04,00:00,41.0895
2026-06-05,00:00,40.7367
2026-06-08,00:00,25.6742
2026-06-09,00:00,40.651
2026-06-10,00:00,29.3097
2026-06-11,00:00,23.2827
2026-06-12,00:00,55.3991
2026-06-15,00:00,74.704
2026-06-16,00:00,74.6845
2026-06-17,00:00,73.2948
2026-06-18,00:00,74.062
2026-06-19,00:00,71.0422
2026-06-22,00:00,74.1589
2026-06-23,00:00,59.9856
2026-06-24,00:00,60.6782
2026-06-25,00:00,48.6477
2026-06-29,00:00,39.9785
2026-06-30,00:00,45.7297
2026-07-01,00:00,51.9957
2026-07-02,00:00,61.237
2026-07-03,00:00,62.6346
2026-07-06,00:00,58.6244
2026-07-07,00:00,49.7846
2026-07-08,00:00,22.9443
2026-07-09,00:00,39.3472
2026-07-10,00:00,57.1788
2026-07-13,00:00,58.6809
2026-07-14,00:00,42.0222
2026-07-15,00:00,46.7956
2026-07-16,00:00,44.5835
2026-07-17,00:00,39.0759
2026-07-20,00:00,45.5421
2026-07-21,00:00,49.0883
2026-07-22,00:00,34.5013
2026-07-23,00:00,28.0243
2026-07-24,00:00,29.4181
2026-07-27,00:00,45.3513
2026-07-28,00:00,36.02
2026-07-29,00:00,47.0378
2026-07-30,00:00,40.1996
2026-07-31,00:00,49.2877
2026-08-03,00:00,65.6184
2026-08-04,00:00,63.2327
2026-08-05,00:00,66.5957
2026-08-06,00:00,63.7717
2026-08-07,00:00,60.255
2026-08-10,00:00,56.851
2026-08-11,00:00,52.9724
2026-08-12,00:00,47.4504
2026-08-13,00:00,48.4441
2026-08-14,00:00,44.4484
2026-08-17,00:00,43.1627
2026-08-18,00:00,37.7688
2026-08-19,00:00,34.5895
2026-08-20,00:00,42.2521
2026-08-21,00:00,45.5552
2026-08-24,00:00,43.8813
2026-08-25,00:00,46.5974
2026-08-26,00:00,50.7533
2026-08-27,00:00,43.5949
2026-08-28,00:00,46.6711
2026-08-31,00:00,39.4676
2026-09-01,00:00,33.3111
2026-09-02,00:00,30.7307
2026-09-03,00:00,39.3131
2026-09-04,00:00,43.9187
2026-09-07,00:00,38.8263
2026-09-08,00:00,40.4326
2026-09-09,00:00,38.3283
2026-09-10,00:00,34.8783
2026-09-11,00:00,30.6231
2026-09-15,00:00,17.6334
2026-09-16,00:00,17.8786
2026-09-17,00:00,25.8517
2026-09-18,00:00,41.8139
2026-09-21,00:00,43.1802
2026-09-22,00:00,41.2465
2026-09-23,00:00,57.2129
