date,time,above 50ma
2026-01-29,00:00,26.6565
2026-01-30,00:00,27.7395
2026-02-01,00:00,22.4771
2026-02-02,00:00,24.381
2026-02-03,00:00,32.5048
2026-02-04,00:00,33.3461
2026-02-05,00:00,31.853
2026-02-06,00:00,31.6112
2026-02-09,00:00,36.6717
2026-02-10,00:00,37.8544
2026-02-11,00:00,37.8875
2026-02-12,00:00,36.6769
2026-02-13,00:00,33.1674
2026-02-16,00:00,33.4221
2026-02-17,00:00,34.3141
2026-02-18,00:00,35.4716
2026-02-19,00:00,32.4685
2026-02-20,00:00,32.5706
2026-02-23,00:00,33.0046
2026-02-24,00:00,31.3478
2026-02-25,00:00,32.3294
2026-02-26,00:00,32.6601
2026-02-27,00:00,30.3088
2026-03-02,00:00,25.482
2026-03-04,00:00,20.9046
2026-03-05,00:00,23.1091
2026-03-06,00:00,22.4079
2026-03-09,00:00,18.6275
2026-03-10,00:00,21.3364
2026-03-11,00:00,20.759
2026-03-12,00:00,20.038
2026-03-13,00:00,17.1028
2026-03-16,00:00,16.9428
2026-03-17,00:00,17.9439
2026-03-18,00:00,19.8711
2026-03-19,00:00,16.6414
2026-03-20,00:00,17.6404
2026-03-23,00:00,13.3133
2026-03-24,00:00,15.3788
2026-03-25,00:00,17.3798
2026-03-27,00:00,15.8034
2026-03-30,00:00,13.7336
2026-04-01,00:00,16.6163
2026-04-02,00:00,16.2081
2026-04-06,00:00,17.9334
2026-04-07,00:00,18.637
2026-04-08,00:00,24.416
2026-04-09,00:00,24.8494
2026-04-10,00:00,29.4872
2026-04-13,00:00,28.9188
2026-04-15,00:00,35.8462
2026-04-16,00:00,37.9713
2026-04-17,00:00,41.8333
2026-04-20,00:00,40.4842
2026-04-21,00:00,42.1722
2026-04-22,00:00,44.8602
2026-04-23,00:00,43.2462
2026-04-24,00:00,39.0988
2026-04-27,00:00,43.4187
2026-04-28,00:00,43.6251
2026-04-29,00:00,44.1497
2026-04-30,00:00,43.2206
2026-05-04,00:00,45.2844
2026-05-05,00:00,46.2432
2026-05-06,00:00,49.5826
2026-05-07,00:00,52.8836
2026-05-08,00:00,52.954
2026-05-11,00:00,48.5612
2026-05-12,00:00,39.7678
2026-05-13,00:00,41.5457
2026-05-14,00:00,42.0442
2026-05-15,00:00,40.726
2026-05-18,00:00,37.045
2026-05-19,00:00,39.572
2026-05-20,00:00,40.1523
2026-05-21,00:00,41.6485
2026-05-22,00:00,42.2045
2026-05-25,00:00,45.5623
2026-05-26,00:00,46.1483
2026-05-27,00:00,47.0503
2026-05-29,00:00,43.9783
2026-06-01,00:00,41.466
2026-06-02,00:00,43.1097
2026-06-03,00:00,42.398
2026-06-04,00:00,43.3983
2026-06-05,00:00,43.8064
2026-06-08,00:00,40.0216
2026-06-09,00:00,43.1103
2026-06-10,00:00,40.4771
2026-06-11,00:00,37.9971
2026-06-12,00:00,44.4926
2026-06-15,00:00,47.8292
2026-06-16,00:00,48.7198
2026-06-17,00:00,50.0902
2026-06-18,00:00,51.1905
2026-06-19,00:00,51.6769
2026-06-22,00:00,54.5812
2026-06-23,00:00,51.896
2026-06-24,00:00,53.1025
2026-06-25,00:00,51.3884
2026-06-29,00:00,49.6063
2026-06-30,00:00,50.6667
2026-07-01,00:00,51.8519
2026-07-02,00:00,54.2251
2026-07-03,00:00,55.2046
2026-07-06,00:00,55.2031
2026-07-07,00:00,53.8765
2026-07-08,00:00,47.7917
2026-07-09,00:00,50.2869
2026-07-10,00:00,53.374
2026-07-13,00:00,53.975
2026-07-14,00:00,52.7071
2026-07-15,00:00,53.3835
2026-07-16,00:00,52.1988
2026-07-17,00:00,51.9341
2026-07-20,00:00,52.6748
2026-07-21,00:00,53.3071
2026-07-22,00:00,50.4112
2026-07-23,00:00,48.8547
2026-07-24,00:00,49.4109
2026-07-27,00:00,50.5678
2026-07-28,00:00,48.6448
2026-07-29,00:00,51.606
2026-07-30,00:00,50.7484
2026-07-31,00:00,52.3504
2026-08-03,00:00,55.8304
2026-08-04,00:00,55.7726
2026-08-05,00:00,57.0567
2026-08-06,00:00,56.9302
2026-08-07,00:00,57.492
2026-08-10,00:00,57.0271
2026-08-11,00:00,56.6171
2026-08-12,00:00,54.7805
2026-08-13,00:00,54.9151
2026-08-14,00:00,54.0311
2026-08-17,00:00,53.2959
2026-08-18,00:00,50.672
2026-08-19,00:00,51.4805
2026-08-20,00:00,53.1765
2026-08-21,00:00,53.8745
2026-08-24,00:00,54.0847
2026-08-25,00:00,54.3413
2026-08-26,00:00,55.6746
2026-08-27,00:00,53.8229
2026-08-28,00:00,54.5333
2026-08-31,00:00,52.812
2026-09-01,00:00,51.8024
2026-09-02,00:00,50.5172
2026-09-03,00:00,51.4505
2026-09-04,00:00,52.1826
2026-09-07,00:00,51.3926
2026-09-08,00:00,51.381
2026-09-09,00:00,49.9167
2026-09-10,00:00,49.1497
2026-09-11,00:00,48.8171
2026-09-15,00:00,41.8628
2026-09-16,00:00,42.0614
2026-09-17,00:00,43.2532
2026-09-18,00:00,45.8486
