"Date","Symbol","% change"
"4th Sep'26 3:29:00","BODALCHEM",72.95
"4th Sep'26 3:29:00","JINDWORLD",65.07
"4th Sep'26 3:29:00","TBZ",57.24
"4th Sep'26 3:29:00","XTRANET",46.56
"4th Sep'26 3:29:00","UEL",40.68
"4th Sep'26 3:29:00","BIRLACABLE",40.67
"4th Sep'26 3:29:00","BHAGERIA",37.66
"4th Sep'26 3:29:00","RBZJEWEL",34.39
"4th Sep'26 3:29:00","MVELECTRO",30.27
"4th Sep'26 3:29:00","OAL",29.57
"4th Sep'26 3:29:00","ASIANHOTNR",25.45
"4th Sep'26 3:29:00","OMAXE",24.7
"4th Sep'26 3:29:00","SSWL",24.6
"4th Sep'26 3:29:00","SETL",23.77
"4th Sep'26 3:29:00","MANAKSTEEL",23.3
"4th Sep'26 3:29:00","NIACL",22.89
"4th Sep'26 3:29:00","DIFFNKG",22.15
"4th Sep'26 3:29:00","AYMSYNTEX",21.87
"4th Sep'26 3:29:00","MUKKA",21.8
"4th Sep'26 3:29:00","TEJASNET",21.6
"4th Sep'26 3:29:00","SMLMAH",21.35
"4th Sep'26 3:29:00","SYNCOMF",20.85
"4th Sep'26 3:29:00","ANTELOPUS",20.84
"4th Sep'26 3:29:00","PVP",20.29
"4th Sep'26 3:29:00","KOPRAN",19.53
"4th Sep'26 3:29:00","RAYMOND",19.29
"4th Sep'26 3:29:00","INDORAMA",19.18
"4th Sep'26 3:29:00","IFCI",18.66
"4th Sep'26 3:29:00","KLBRENG-B",18.47
"4th Sep'26 3:29:00","DEEPINDS",18.33
"4th Sep'26 3:29:00","LOKESHMACH",18.01
"4th Sep'26 3:29:00","RADHIKAJWE",17.89
"4th Sep'26 3:29:00","SUDEEPPHRM",17.73
"4th Sep'26 3:29:00","BLISSGVS",17.62
"4th Sep'26 3:29:00","ARROWGREEN",17.47
"4th Sep'26 3:29:00","WELENT",17.43
"4th Sep'26 3:29:00","MOREPENLAB",17.28
"4th Sep'26 3:29:00","TNPETRO",17.15
"4th Sep'26 3:29:00","HINDOILEXP",17.01
"4th Sep'26 3:29:00","MANALIPETC",16.83
"4th Sep'26 3:29:00","INOXINDIA",16.67
"4th Sep'26 3:29:00","MENONBE",16.1
"4th Sep'26 3:29:00","WHEELS",15.99
"4th Sep'26 3:29:00","MVGJL",15.92
"4th Sep'26 3:29:00","RHETAN",15.86
"4th Sep'26 3:29:00","KAPSTON",15.6
"4th Sep'26 3:29:00","QPOWER",15.18
"4th Sep'26 3:29:00","WINDLAS",15.12
"4th Sep'26 3:29:00","MARINE",15.07
"4th Sep'26 3:29:00","KSHINTL",14.72
"4th Sep'26 3:29:00","NRAIL",14.67
"4th Sep'26 3:29:00","EXICOM",14.59
"4th Sep'26 3:29:00","PROZONER",14.36
"4th Sep'26 3:29:00","MODISONLTD",14.18
"4th Sep'26 3:29:00","SBC",14.03
"4th Sep'26 3:29:00","VINDHYATEL",14.02
"4th Sep'26 3:29:00","CLEANMAX",14.01
"4th Sep'26 3:29:00","INNOVACAP",13.98
"4th Sep'26 3:29:00","PTCIL",13.92
"4th Sep'26 3:29:00","MILKYMIST",13.65
"4th Sep'26 3:29:00","SALSTEEL",13.58
"4th Sep'26 3:29:00","GKSL",13.44
"4th Sep'26 3:29:00","RML",13.27
"4th Sep'26 3:29:00","STLNETWORK",13.22
"4th Sep'26 3:29:00","JTLIND",13.16
"4th Sep'26 3:29:00","UNITEDPOLY",13.05
"4th Sep'26 3:29:00","STLTECH",13
"4th Sep'26 3:29:00","CENTUM",12.98
"4th Sep'26 3:29:00","ALEMBICLTD",12.88
"4th Sep'26 3:29:00","RELIGARE",12.83
"4th Sep'26 3:29:00","GMMPFAUDLR",12.83
"4th Sep'26 3:29:00","SPAL",12.78
"4th Sep'26 3:29:00","SRHHYPOLTD",12.76
"4th Sep'26 3:29:00","63MOONS",12.73
"4th Sep'26 3:29:00","XPROINDIA",12.65
"4th Sep'26 3:29:00","GFLLIMITED",12.58
"4th Sep'26 3:29:00","SAKAR",12.48
"4th Sep'26 3:29:00","WELCORP",12.31
"4th Sep'26 3:29:00","MANINDS",12.15
"4th Sep'26 3:29:00","SHILPAMED",12.01
"4th Sep'26 3:29:00","MAZDA",11.98
"4th Sep'26 3:29:00","IRIS",11.91
"4th Sep'26 3:29:00","3BBLACKBIO",11.77
"4th Sep'26 3:29:00","EMKAY",11.71
"4th Sep'26 3:29:00","CAPLIPOINT",11.7
"4th Sep'26 3:29:00","BAJAJCON",11.66
"4th Sep'26 3:29:00","ENGINERSIN",11.62
"4th Sep'26 3:29:00","RSWM",11.45
"4th Sep'26 3:29:00","HALDYNGL",11.44
"4th Sep'26 3:29:00","MARSONS",11.31
"4th Sep'26 3:29:00","FEDDERSHOL",11.25
"4th Sep'26 3:29:00","SHIVALIK",11.22
"4th Sep'26 3:29:00","ORIENTBELL",11.08
"4th Sep'26 3:29:00","NSLNISP",11.05
"4th Sep'26 3:29:00","WOCKPHARMA",10.98
"4th Sep'26 3:29:00","ENTERO",10.9
"4th Sep'26 3:29:00","SHANTIGEAR",10.73
"4th Sep'26 3:29:00","TNPL",10.72
"4th Sep'26 3:29:00","GCSL",10.62
"4th Sep'26 3:29:00","IKIO",10.55
